genotype,fly_id,mean_ipsi
SS02239,1,13.51704850007992
SS02239,2,4.186702363561875
SS02239,3,-5.839820167835397
SS02239,4,7.195212645518898
SS02239,5,9.598822355683486
SS02239,6,5.230720782781591
SS02239,7,-10.17851638587394
VT000355-AD-VT037220-DBD-GC7f,1,-5.853069318285082
VT000355-AD-VT037220-DBD-GC7f,2,-1.721654651247628
VT000355-AD-VT037220-DBD-GC7f,3,-8.99846406738357
VT000355-AD-VT037220-DBD-GC7f,4,6.165923709916596
VT000355-AD-VT037220-DBD-GC7f,5,10.93621808898331
VT000355-AD-VT037220-DBD-GC7f,6,18.11949404062021
VT000355-AD-VT037220-DBD-GC7f,7,-6.068304531881124
VT000355-AD-VT037220-DBD-GC7f-Chr,1,32.35054970970838
VT000355-AD-VT037220-DBD-GC7f-Chr,2,52.10233911981087
VT000355-AD-VT037220-DBD-GC7f-Chr,3,70.48075163449981
VT000355-AD-VT037220-DBD-GC7f-Chr,4,44.5315435397743
VT000355-AD-VT037220-DBD-GC7f-Chr,5,25.36187428463214
VT000355-AD-VT037220-DBD-GC7f-Chr,6,55.76303334640395
VT000355-AD-VT037220-DBD-GC7f-Chr,7,34.00335956150943
VT000355-AD-VT037220-DBD-GC7f-Chr,8,29.74085354533526
VT000355-AD-VT037220-DBD-GC7f-Chr,9,37.18244834323921
VT000355-AD-VT037220-DBD-GC7f-Chr,10,19.52393390633682
