fly,method,signal,target,r150,peak_abs_lag_ms,peak_abs_r,valid_s
a1_a2_d_01,baseline7.5,a2_l_fr,yaw,-0.12070593866057519,-200,-0.13691121809908316,3437.98
a1_a2_d_01,baseline7.5,a1_l_fr,yaw,-0.0025538407776172496,-500,-0.07064599920901315,3437.98
a1_a2_d_01,baseline7.5,a2_l_fr,a1_l_fr,0.5409017074267031,0,0.6689044672754798,3437.98
a1_a2_d_01,source_example15,a2_l_fr,yaw,-0.20389393472144124,220,-0.21710844807611243,3437.98
a1_a2_d_01,source_example15,a1_l_fr,yaw,-0.0025538407776172496,-500,-0.07064599920901315,3437.98
a1_a2_d_01,source_example15,a2_l_fr,a1_l_fr,0.22274821290032074,0,0.2901012517093917,3437.98
a1_a2_d_04,baseline7.5,a2_l_fr,yaw,-0.29874050384377043,160,-0.2996062628688358,3437.98
a1_a2_d_04,baseline7.5,a1_l_fr,yaw,-0.17452345013313253,110,-0.17984356505219973,3437.98
a1_a2_d_04,baseline7.5,a2_l_fr,a1_l_fr,0.4411388677714366,0,0.5455146950990166,3437.98
a1_a2_d_04,source_example15,a2_l_fr,yaw,-0.26313385545597434,150,-0.26313385545597434,3437.98
a1_a2_d_04,source_example15,a1_l_fr,yaw,-0.17452345013313253,110,-0.17984356505219973,3437.98
a1_a2_d_04,source_example15,a2_l_fr,a1_l_fr,0.32768624079724984,0,0.4050238740940259,3437.98
