fly,file,file_id,author_quality_flag,status,source_md5_verified,mat_fields,source_clock_resets,epoch_durations_s,time_coordinate,reason,ephys_hz,ball_hz,available_ephys_s,analyzed_s,start_s,end_s,bins,author_spike_arrays,neurons,fwd_lat_raw_exact_equal_fraction,stim_bin_fraction,valid_no_stim_s,stim_min,stim_max
a2_s_03,161208_lexAOpCsChrimson_gfp_83blexA_ss730_03_data_for_SH_with_lat_vel.mat,11634643,,usable,True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,1900.0,source_seconds,all_required_variables_regular_timebase,4000,100,1900.0,1899.98,0.01,1899.99,189998,absent,a2_l,0.0,0.044289939894104145,1757.08,0.0,5.0
a2_s_04,161208_lexAOpCsChrimson_gfp_83blexA_ss730_04_data_for_SH_with_lat_vel.mat,11634644,,usable,True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,2346.0,source_seconds,all_required_variables_regular_timebase,4000,100,2346.0,2345.98,0.01,2345.9900000000002,234598,absent,a2_l,0.0,0.044348204162013315,2169.54,0.0,5.0
a2_s_05,161208_lexAOpCsChrimson_gfp_83blexA_ss730_05_data_for_SH_with_lat_vel.mat,11634645,,usable,True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,1740.0,source_seconds,all_required_variables_regular_timebase,4000,100,1740.0,1739.98,0.01,1739.99,173998,absent,a2_l,0.0,0.04454648904010391,1609.02,0.0,5.0
a2_s_06,161210_lexAOpCsChrimson_gfp_83blexA_ss730_06_data_for_SH_with_lat_vel.mat,11634646,,usable,True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,1882.0,source_seconds,all_required_variables_regular_timebase,4000,100,1882.0,1881.98,0.01,1881.99,188198,absent,a2_l,0.0,0.044442555181245284,1739.94,0.0,5.0
a1_s_02,161218_lexAOpCsChrimson_gfp_83blexA_ss731_02_data_for_SH_with_lat_vel.mat,11634632,,usable,True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,3000.0,source_seconds,all_required_variables_regular_timebase,4000,100,3000.0,2999.98,0.01,2999.9900000000002,299998,absent,a1_l,0.28469333333333335,0.044370295801972014,2774.52,0.0,5.0
a1_s_05,170721_lexAOpCsChrimson_gfp_83blexA_ss731_05_data_for_SH_with_lat_vel.mat,11634634,,usable,True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,2829.0,source_seconds,all_required_variables_regular_timebase,4000,100,2829.0,2828.98,0.01,2828.9900000000002,282898,absent,a1_l,0.562237539766702,0.044348139612157035,2616.42,0.0,5.0
a1_s_08,170726_lexAOpCsChrimson_gfp_83blexA_ss731_08_data_for_SH_with_lat_vel.mat,11634637,,usable,True,ball_SR;ephys_A;ephys_SR;fwd;fwd_old;lat;lat_old;stim;t_ball;t_ephys;yaw;yaw_old,0,1656.0,source_seconds,all_required_variables_regular_timebase,4000,100,1656.0,1655.98,0.01,1655.99,165598,absent,a1_l,0.0,0.044348361695189555,1531.14,0.0,5.0
a1_s_03,170802_gfp_ss731_03_data_for_SH_with_lat_vel.mat,11634633,,usable,True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,2875.0,source_seconds,all_required_variables_regular_timebase,4000,100,2875.0,2874.98,0.01,2874.9900000000002,287498,absent,a1_l,0.5121391304347827,0.0,2873.98,0.0,0.0
a1_s_06,170803_gfp_ss731_06_data_for_SH_with_lat_vel.mat,11634635,,usable,True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,2875.0,source_seconds,all_required_variables_regular_timebase,4000,100,2875.0,2874.98,0.01,2874.9900000000002,287498,absent,a1_l,0.5725634782608696,0.0,2873.98,0.0,0.0
a1_s_07,170803_gfp_ss731_07_data_for_SH_with_lat_vel.mat,11634636,,usable,True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,2760.0,source_seconds,all_required_variables_regular_timebase,4000,100,2760.0,2759.98,0.01,2759.9900000000002,275998,absent,a1_l,0.579481884057971,0.0,2758.98,0.0,0.0
