fly,signal,target,lag_ms,r
a2_s_03,a2_l_rate,yaw,-500,-0.14723383307766652
a2_s_03,a2_l_rate,yaw,-490,-0.14744571429429676
a2_s_03,a2_l_rate,yaw,-480,-0.1476941918935239
a2_s_03,a2_l_rate,yaw,-470,-0.14801028197661634
a2_s_03,a2_l_rate,yaw,-460,-0.14840596916960963
a2_s_03,a2_l_rate,yaw,-450,-0.1488953418767554
a2_s_03,a2_l_rate,yaw,-440,-0.14943452538065718
a2_s_03,a2_l_rate,yaw,-430,-0.1499856168621308
a2_s_03,a2_l_rate,yaw,-420,-0.15053728568745198
a2_s_03,a2_l_rate,yaw,-410,-0.15106679077923504
a2_s_03,a2_l_rate,yaw,-400,-0.1515946319124179
a2_s_03,a2_l_rate,yaw,-390,-0.15212956240421072
a2_s_03,a2_l_rate,yaw,-380,-0.15268500865443577
a2_s_03,a2_l_rate,yaw,-370,-0.15323628336151002
a2_s_03,a2_l_rate,yaw,-360,-0.1537700967419862
a2_s_03,a2_l_rate,yaw,-350,-0.15429448871123572
a2_s_03,a2_l_rate,yaw,-340,-0.15481280624822955
a2_s_03,a2_l_rate,yaw,-330,-0.15533911302270806
a2_s_03,a2_l_rate,yaw,-320,-0.1558786072098819
a2_s_03,a2_l_rate,yaw,-310,-0.1564198035727068
a2_s_03,a2_l_rate,yaw,-300,-0.1569396312332194
a2_s_03,a2_l_rate,yaw,-290,-0.1574250437613373
a2_s_03,a2_l_rate,yaw,-280,-0.1578708813150965
a2_s_03,a2_l_rate,yaw,-270,-0.15826991459142012
a2_s_03,a2_l_rate,yaw,-260,-0.15862106403404128
a2_s_03,a2_l_rate,yaw,-250,-0.1589381594231701
a2_s_03,a2_l_rate,yaw,-240,-0.15927261130968515
a2_s_03,a2_l_rate,yaw,-230,-0.159646031250571
a2_s_03,a2_l_rate,yaw,-220,-0.16009667284278484
a2_s_03,a2_l_rate,yaw,-210,-0.1606901959434494
a2_s_03,a2_l_rate,yaw,-200,-0.16145872423271967
a2_s_03,a2_l_rate,yaw,-190,-0.16243753188038398
a2_s_03,a2_l_rate,yaw,-180,-0.16364227678925025
a2_s_03,a2_l_rate,yaw,-170,-0.16503826751984715
a2_s_03,a2_l_rate,yaw,-160,-0.16656232698869933
a2_s_03,a2_l_rate,yaw,-150,-0.16813685253767724
a2_s_03,a2_l_rate,yaw,-140,-0.16964789898999688
a2_s_03,a2_l_rate,yaw,-130,-0.17093007784133568
a2_s_03,a2_l_rate,yaw,-120,-0.17179738675321862
a2_s_03,a2_l_rate,yaw,-110,-0.17204451116004316
a2_s_03,a2_l_rate,yaw,-100,-0.17146523841840663
a2_s_03,a2_l_rate,yaw,-90,-0.1698838732910622
a2_s_03,a2_l_rate,yaw,-80,-0.16716167742875956
a2_s_03,a2_l_rate,yaw,-70,-0.1632612028976281
a2_s_03,a2_l_rate,yaw,-60,-0.1582650850227928
a2_s_03,a2_l_rate,yaw,-50,-0.1523731688892973
a2_s_03,a2_l_rate,yaw,-40,-0.14591382680491047
a2_s_03,a2_l_rate,yaw,-30,-0.13936815261540036
a2_s_03,a2_l_rate,yaw,-20,-0.13333243926404734
a2_s_03,a2_l_rate,yaw,-10,-0.12847866054880655
a2_s_03,a2_l_rate,yaw,0,-0.12549754122957207
a2_s_03,a2_l_rate,yaw,10,-0.1250510936499314
a2_s_03,a2_l_rate,yaw,20,-0.12753477967784516
a2_s_03,a2_l_rate,yaw,30,-0.1332029024979348
a2_s_03,a2_l_rate,yaw,40,-0.14203755801906778
a2_s_03,a2_l_rate,yaw,50,-0.15372262846462495
a2_s_03,a2_l_rate,yaw,60,-0.167711960002628
a2_s_03,a2_l_rate,yaw,70,-0.18319039192761588
a2_s_03,a2_l_rate,yaw,80,-0.19924167835683002
a2_s_03,a2_l_rate,yaw,90,-0.21487145947550554
a2_s_03,a2_l_rate,yaw,100,-0.2291290546258011
a2_s_03,a2_l_rate,yaw,110,-0.2412343167540924
a2_s_03,a2_l_rate,yaw,120,-0.250604602308197
a2_s_03,a2_l_rate,yaw,130,-0.25688384235062783
a2_s_03,a2_l_rate,yaw,140,-0.2599748972006764
a2_s_03,a2_l_rate,yaw,150,-0.2599739118825874
a2_s_03,a2_l_rate,yaw,160,-0.2572320717333306
a2_s_03,a2_l_rate,yaw,170,-0.252218138036262
a2_s_03,a2_l_rate,yaw,180,-0.24548549628902844
