bodyId,type,studied_full_io,original_group_count,retained_group_count,shared_retained,original_group_weights,retained_group_weights
10026,DNp18,False,4,3,True,"{""T2R:root_sar"": 49, ""T3R:root_sar"": 21, ""wing_b1"": 17, ""wing_b2"": 16}","{""T3R:root_sar"": 21, ""wing_b1"": 17, ""wing_b2"": 16}"
10030,pIP1,False,5,4,True,"{""T1L:root_sar"": 10, ""T1L:root_spr"": 18, ""T2L:root_sar"": 96, ""T3L:knee_flexor"": 11, ""T3L:root_sar"": 104}","{""T1L:root_sar"": 10, ""T2L:root_sar"": 96, ""T3L:knee_flexor"": 11, ""T3L:root_sar"": 104}"
10038,pIP1,False,4,4,True,"{""T1R:root_sar"": 13, ""T2R:root_sad"": 26, ""T2R:root_sar"": 108, ""T3R:root_sar"": 82}","{""T1R:root_sar"": 13, ""T2R:root_sad"": 26, ""T2R:root_sar"": 93, ""T3R:root_sar"": 82}"
10045,DNg100,True,12,11,True,"{""T1R:root_pra"": 75, ""T1R:root_promotor"": 137, ""T1R:root_spr"": 34, ""T2R:knee_extensor"": 40, ""T2R:knee_flexor"": 11, ""T2R:root_pra"": 83, ""T2R:root_sar"": 65, ""T2R:root_spr"": 26, ""T3R:knee_extensor"": 58, ""T3R:root_pra"": 85, ""T3R:root_sar"": 20, ""T3R:root_spr"": 16}","{""T1R:root_pra"": 54, ""T1R:root_promotor"": 98, ""T1R:root_spr"": 34, ""T2R:knee_extensor"": 40, ""T2R:root_pra"": 83, ""T2R:root_sar"": 54, ""T2R:root_spr"": 10, ""T3R:knee_extensor"": 58, ""T3R:root_pra"": 85, ""T3R:root_sar"": 20, ""T3R:root_spr"": 16}"
10048,DNp18,False,4,4,True,"{""T2L:root_sar"": 32, ""T3L:root_sar"": 18, ""wing_b1"": 26, ""wing_b2"": 25}","{""T2L:root_sar"": 32, ""T3L:root_sar"": 18, ""wing_b1"": 26, ""wing_b2"": 25}"
10054,DNpe013,False,2,2,True,"{""T1L:root_pra"": 58, ""neck_CvN7"": 361}","{""T1L:root_pra"": 58, ""neck_CvN7"": 361}"
10056,DNg100,True,10,10,True,"{""T1L:root_pra"": 85, ""T1L:root_promotor"": 89, ""T1L:root_spr"": 34, ""T2L:knee_extensor"": 103, ""T2L:root_pra"": 59, ""T2L:root_sar"": 60, ""T2L:root_spr"": 23, ""T3L:root_pra"": 53, ""T3L:root_sar"": 20, ""T3L:root_spr"": 29}","{""T1L:root_pra"": 85, ""T1L:root_promotor"": 89, ""T1L:root_spr"": 34, ""T2L:knee_extensor"": 34, ""T2L:root_pra"": 59, ""T2L:root_sar"": 60, ""T2L:root_spr"": 23, ""T3L:root_pra"": 53, ""T3L:root_sar"": 20, ""T3L:root_spr"": 13}"
10065,DNb05,True,5,4,True,"{""T1R:knee_extensor"": 16, ""T2R:knee_extensor"": 34, ""T3R:knee_extensor"": 10, ""wing_b1"": 21, ""wing_b2"": 30}","{""T2R:knee_extensor"": 24, ""T3R:knee_extensor"": 10, ""wing_b1"": 21, ""wing_b2"": 30}"
10090,aSP22,False,4,3,True,"{""T1L:root_promotor"": 167, ""T2L:knee_extensor"": 10, ""T3L:knee_extensor"": 53, ""T3L:root_sar"": 18}","{""T1L:root_promotor"": 167, ""T3L:knee_extensor"": 53, ""T3L:root_sar"": 18}"
10104,aSP22,False,4,3,True,"{""T1R:root_promotor"": 123, ""T2R:knee_extensor"": 23, ""T2R:root_sar"": 19, ""T3R:knee_extensor"": 12}","{""T1R:root_promotor"": 87, ""T2R:knee_extensor"": 23, ""T3R:knee_extensor"": 12}"
10106,DNp11,False,2,2,True,"{""T2L:knee_flexor"": 50, ""T2L:root_spr"": 39}","{""T2L:knee_flexor"": 50, ""T2L:root_spr"": 39}"
10118,DNb05,True,5,4,True,"{""T1L:knee_extensor"": 18, ""T2L:knee_extensor"": 15, ""T3L:knee_extensor"": 17, ""wing_b1"": 47, ""wing_b2"": 30}","{""T1L:knee_extensor"": 18, ""T3L:knee_extensor"": 17, ""wing_b1"": 47, ""wing_b2"": 30}"
10124,DNg105,True,15,12,True,"{""T1R:knee_extensor"": 64, ""T1R:knee_flexor"": 74, ""T1R:root_pra"": 25, ""T1R:root_promotor"": 67, ""T1R:root_sar"": 74, ""T2R:knee_extensor"": 209, ""T2R:knee_flexor"": 310, ""T2R:root_pra"": 138, ""T2R:root_sar"": 95, ""T2R:root_spr"": 343, ""T3R:knee_extensor"": 107, ""T3R:knee_flexor"": 336, ""T3R:root_pra"": 42, ""T3R:root_sar"": 90, ""T3R:root_spr"": 192}","{""T1R:knee_flexor"": 74, ""T1R:root_pra"": 25, ""T1R:root_promotor"": 10, ""T2R:knee_extensor"": 209, ""T2R:knee_flexor"": 292, ""T2R:root_pra"": 138, ""T2R:root_sar"": 30, ""T3R:knee_extensor"": 107, ""T3R:knee_flexor"": 277, ""T3R:root_pra"": 42, ""T3R:root_sar"": 90, ""T3R:root_spr"": 192}"
10131,DNg74_a,True,13,12,True,"{""T1L:knee_extensor"": 13, ""T1L:knee_flexor"": 22, ""T1L:root_pra"": 179, ""T1L:root_promotor"": 85, ""T1L:root_sar"": 40, ""T1L:root_spr"": 71, ""T2L:knee_extensor"": 14, ""T2L:root_pra"": 25, ""T2L:root_spr"": 155, ""T3L:root_pra"": 37, ""T3L:root_sar"": 53, ""T3L:root_spr"": 133, ""feeding_MN9"": 51}","{""T1L:knee_flexor"": 22, ""T1L:root_pra"": 179, ""T1L:root_promotor"": 85, ""T1L:root_sar"": 40, ""T1L:root_spr"": 60, ""T2L:knee_extensor"": 14, ""T2L:root_pra"": 25, ""T2L:root_spr"": 155, ""T3L:root_pra"": 37, ""T3L:root_sar"": 53, ""T3L:root_spr"": 70, ""feeding_MN9"": 51}"
10141,DNg15,False,2,2,True,"{""T1R:knee_extensor"": 13, ""T2R:root_sar"": 13}","{""T1R:knee_extensor"": 13, ""T2R:root_sar"": 13}"
10160,DNg90,False,2,2,True,"{""T1L:root_promotor"": 29, ""feeding_MN9"": 34}","{""T1L:root_promotor"": 29, ""feeding_MN9"": 34}"
