edge_threshold,row_block,column_block,shared_pre,row_input_from_shared,row_input_weight,row_fraction
1,fl_L,fl_L,8912,191672,191672,1.0
1,fl_L,fl_R,385,23525,191672,0.12273571518009933
1,fl_L,ml_L,414,25467,191672,0.13286760716223547
1,fl_L,ml_R,167,6524,191672,0.0340373137443132
1,fl_L,hl_L,340,21085,191672,0.11000563462581911
1,fl_L,hl_R,191,10225,191672,0.053346341667014484
1,fl_L,wm,382,23706,191672,0.12368003672941275
1,fl_L,hm,190,11043,191672,0.057614049000375644
1,fl_L,nm,472,39310,191672,0.20508994532326058
1,fl_L,am,229,17786,191672,0.09279393964689678
1,fl_L,pm,157,13376,191672,0.06978588421887391
1,fl_L,rm,135,9593,191672,0.050049042113610755
1,fl_L,ad,303,19826,191672,0.10343712174965566
1,fl_L,xm,69,6212,191672,0.03240953295212655
1,fl_R,fl_L,385,21632,125316,0.17261961760669028
1,fl_R,fl_R,7142,125316,125316,1.0
1,fl_R,ml_L,149,3475,125316,0.027729898815793675
1,fl_R,ml_R,389,15671,125316,0.12505186887548278
1,fl_R,hl_L,178,7517,125316,0.059984359539085194
1,fl_R,hl_R,292,12625,125316,0.10074531584155255
1,fl_R,wm,357,14588,125316,0.11640971623735197
1,fl_R,hm,148,5895,125316,0.04704108014938236
1,fl_R,nm,441,32816,125316,0.2618660027450605
1,fl_R,am,241,12502,125316,0.09976379712087842
1,fl_R,pm,157,9603,125316,0.07663027865555874
1,fl_R,rm,126,7496,125316,0.05981678317214083
1,fl_R,ad,271,11969,125316,0.0955105493312905
1,fl_R,xm,68,4594,125316,0.036659325225829105
1,ml_L,fl_L,414,36123,225935,0.1598822670237015
1,ml_L,fl_R,149,7039,225935,0.031154978201695178
1,ml_L,ml_L,7508,225935,225935,1.0
1,ml_L,ml_R,300,15604,225935,0.06906411135946179
1,ml_L,hl_L,491,40741,225935,0.18032177396153762
1,ml_L,hl_R,272,19118,225935,0.08461725717573639
1,ml_L,wm,1258,154080,225935,0.68196605218315
1,ml_L,hm,232,16576,225935,0.07336623365127139
1,ml_L,nm,241,22642,225935,0.10021466350941642
1,ml_L,am,138,15026,225935,0.06650585345342687
1,ml_L,pm,81,9837,225935,0.04353907097173966
1,ml_L,rm,61,7751,225935,0.034306327040963105
1,ml_L,ad,461,34543,225935,0.15288910527364064
1,ml_L,xm,213,41188,225935,0.18230021908956115
1,ml_R,fl_L,167,7579,203532,0.03723738773264155
1,ml_R,fl_R,389,30919,203532,0.15191223001788418
1,ml_R,ml_L,300,12466,203532,0.06124835406717371
1,ml_R,ml_R,7098,203532,203532,1.0
1,ml_R,hl_L,263,19419,203532,0.09541005836919993
1,ml_R,hl_R,501,36521,203532,0.1794361574592693
1,ml_R,wm,1428,131743,203532,0.6472839651750093
1,ml_R,hm,198,12923,203532,0.06349370123616925
1,ml_R,nm,249,21647,203532,0.10635673997209284
1,ml_R,am,164,13893,203532,0.06825953658392783
1,ml_R,pm,90,8104,203532,0.03981683469921192
1,ml_R,rm,60,6450,203532,0.031690348446435944
1,ml_R,ad,446,31021,203532,0.1524133797142464
1,ml_R,xm,199,39345,203532,0.19331112552325924
1,hl_L,fl_L,340,23180,195715,0.11843752395064251
1,hl_L,fl_R,178,6040,195715,0.030861201236491838
1,hl_L,ml_L,491,35571,195715,0.1817489717190813
