threshold,source_bodyId,source_type,source_is_t10_candidate,target_bodyId,target_type,edge_synapses,fraction_of_all_target_input_raw,source_predictedNt,target_predictedNt
1,10045,DNg100,True,10124,DNg105,4,0.0002591512795594428,acetylcholine,gaba
1,10045,DNg100,True,10734,DNg93,4,0.0005453306066803,acetylcholine,gaba
1,10056,DNg100,True,10124,DNg105,2,0.0001295756397797214,acetylcholine,gaba
1,10131,DNg74_a,True,10124,DNg105,14,0.0009070294784580499,gaba,gaba
1,10131,DNg74_a,True,10734,DNg93,11,0.0014996591683708249,gaba,gaba
1,10247,DNg74_a,True,10124,DNg105,1,6.47878198898607e-05,gaba,gaba
1,10247,DNg74_a,True,10734,DNg93,1,0.000136332651670075,gaba,gaba
1,10247,DNg74_a,True,800687,IN19A003,115,0.010310202617894925,gaba,gaba
1,10247,DNg74_a,True,800736,IN03A010,2,0.0005254860746190226,gaba,acetylcholine
1,10360,DNa02,True,800687,IN19A003,150,0.013448090371167294,acetylcholine,gaba
1,10360,DNa02,True,800736,IN03A010,12,0.0031529164477141357,acetylcholine,acetylcholine
1,10360,DNa02,True,801747,IN19A013,32,0.006289308176100629,acetylcholine,gaba
1,10520,DNg74_b,True,10124,DNg105,11,0.0007126660187884678,gaba,gaba
1,10520,DNg74_b,True,10734,DNg93,10,0.0013633265167007499,gaba,gaba
1,10520,DNg74_b,True,800687,IN19A003,1,8.965393580778196e-05,gaba,gaba
1,10760,DNa01,True,10124,DNg105,1,6.47878198898607e-05,acetylcholine,gaba
1,10760,DNa01,True,800687,IN19A003,10,0.0008965393580778196,acetylcholine,gaba
1,10760,DNa01,True,801747,IN19A013,8,0.0015723270440251573,acetylcholine,gaba
1,230783,DNg97,True,10734,DNg93,1,0.000136332651670075,acetylcholine,gaba
1,525454,DNg74_b,True,10124,DNg105,3,0.00019436345966958212,gaba,gaba
1,525454,DNg74_b,True,10734,DNg93,3,0.00040899795501022495,gaba,gaba
3,10045,DNg100,True,10124,DNg105,4,0.0002591512795594428,acetylcholine,gaba
3,10045,DNg100,True,10734,DNg93,4,0.0005453306066803,acetylcholine,gaba
3,10131,DNg74_a,True,10124,DNg105,14,0.0009070294784580499,gaba,gaba
3,10131,DNg74_a,True,10734,DNg93,11,0.0014996591683708249,gaba,gaba
3,10247,DNg74_a,True,800687,IN19A003,115,0.010310202617894925,gaba,gaba
3,10360,DNa02,True,800687,IN19A003,150,0.013448090371167294,acetylcholine,gaba
3,10360,DNa02,True,800736,IN03A010,12,0.0031529164477141357,acetylcholine,acetylcholine
3,10360,DNa02,True,801747,IN19A013,32,0.006289308176100629,acetylcholine,gaba
3,10520,DNg74_b,True,10124,DNg105,11,0.0007126660187884678,gaba,gaba
3,10520,DNg74_b,True,10734,DNg93,10,0.0013633265167007499,gaba,gaba
3,10760,DNa01,True,800687,IN19A003,10,0.0008965393580778196,acetylcholine,gaba
3,10760,DNa01,True,801747,IN19A013,8,0.0015723270440251573,acetylcholine,gaba
3,525454,DNg74_b,True,10124,DNg105,3,0.00019436345966958212,gaba,gaba
3,525454,DNg74_b,True,10734,DNg93,3,0.00040899795501022495,gaba,gaba
5,10131,DNg74_a,True,10124,DNg105,14,0.0009070294784580499,gaba,gaba
5,10131,DNg74_a,True,10734,DNg93,11,0.0014996591683708249,gaba,gaba
5,10247,DNg74_a,True,800687,IN19A003,115,0.010310202617894925,gaba,gaba
5,10360,DNa02,True,800687,IN19A003,150,0.013448090371167294,acetylcholine,gaba
5,10360,DNa02,True,800736,IN03A010,12,0.0031529164477141357,acetylcholine,acetylcholine
5,10360,DNa02,True,801747,IN19A013,32,0.006289308176100629,acetylcholine,gaba
5,10520,DNg74_b,True,10124,DNg105,11,0.0007126660187884678,gaba,gaba
5,10520,DNg74_b,True,10734,DNg93,10,0.0013633265167007499,gaba,gaba
5,10760,DNa01,True,800687,IN19A003,10,0.0008965393580778196,acetylcholine,gaba
5,10760,DNa01,True,801747,IN19A013,8,0.0015723270440251573,acetylcholine,gaba
10,10131,DNg74_a,True,10124,DNg105,14,0.0009070294784580499,gaba,gaba
10,10131,DNg74_a,True,10734,DNg93,11,0.0014996591683708249,gaba,gaba
10,10247,DNg74_a,True,800687,IN19A003,115,0.010310202617894925,gaba,gaba
10,10360,DNa02,True,800687,IN19A003,150,0.013448090371167294,acetylcholine,gaba
10,10360,DNa02,True,800736,IN03A010,12,0.0031529164477141357,acetylcholine,acetylcholine
10,10360,DNa02,True,801747,IN19A013,32,0.006289308176100629,acetylcholine,gaba
10,10520,DNg74_b,True,10124,DNg105,11,0.0007126660187884678,gaba,gaba
10,10520,DNg74_b,True,10734,DNg93,10,0.0013633265167007499,gaba,gaba
10,10760,DNa01,True,800687,IN19A003,10,0.0008965393580778196,acetylcholine,gaba
