dataset,versioned_body_id,bodyId,type,instance,leg_position_from_subclass,subclass,somaSide,rootSide,somaNeuromere,exitNerve,superclass,mancBodyid,mancType,mancSerial,mcnsSerial,serialMotif,matchingNotes,status,statusLabel,leg,joint,anatomical_action,action_source,muscle_label_available,action_known,muscle_identity_evidence,legacy_targets,legacy_match_count,physiological_action_in_this_cell_measured
male-cns:v1.0,male-cns:v1.0:806599,806599,Acc. ti flexor MN,Acc. ti flexor MN_L,front,fl,L,,T1,ProLN,vnc_motor,101043,Acc. ti flexor MN,,,,,Traced,Reviewed,T1L,femur-tibia,flexion,Azevedo 2024 Appendix A1 pp3-4; A13-A14 pp34-37,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Acc. ti flexor,1,False
male-cns:v1.0,male-cns:v1.0:815246,815246,Acc. ti flexor MN,Acc. ti flexor MN_L,front,fl,L,,T1,ProLN,vnc_motor,17885,Acc. ti flexor MN,,,,,Traced,Reviewed,T1L,femur-tibia,flexion,Azevedo 2024 Appendix A1 pp3-4; A13-A14 pp34-37,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Acc. ti flexor,1,False
male-cns:v1.0,male-cns:v1.0:816215,816215,Acc. ti flexor MN,Acc. ti flexor MN_L,front,fl,L,,T1,ProLN,vnc_motor,18412,Acc. ti flexor MN,,,,,Traced,Reviewed,T1L,femur-tibia,flexion,Azevedo 2024 Appendix A1 pp3-4; A13-A14 pp34-37,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Acc. ti flexor,1,False
male-cns:v1.0,male-cns:v1.0:816404,816404,Acc. ti flexor MN,Acc. ti flexor MN_L,front,fl,L,,T1,ProLN,vnc_motor,23698,Acc. ti flexor MN,,,,,Traced,Reviewed,T1L,femur-tibia,flexion,Azevedo 2024 Appendix A1 pp3-4; A13-A14 pp34-37,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Acc. ti flexor,1,False
male-cns:v1.0,male-cns:v1.0:817283,817283,Acc. ti flexor MN,Acc. ti flexor MN_L,front,fl,L,,T1,ProLN,vnc_motor,15023,Acc. ti flexor MN,,,,,Traced,Reviewed,T1L,femur-tibia,flexion,Azevedo 2024 Appendix A1 pp3-4; A13-A14 pp34-37,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Acc. ti flexor,1,False
male-cns:v1.0,male-cns:v1.0:819869,819869,Acc. ti flexor MN,Acc. ti flexor MN_L,front,fl,L,,T1,ProLN,vnc_motor,13397,Acc. ti flexor MN,12761.0,809670.0,,,Traced,Reviewed,T1L,femur-tibia,flexion,Azevedo 2024 Appendix A1 pp3-4; A13-A14 pp34-37,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Acc. ti flexor,1,False
male-cns:v1.0,male-cns:v1.0:825516,825516,Acc. ti flexor MN,Acc. ti flexor MN_L,front,fl,L,,T1,ProLN,vnc_motor,29554,Acc. ti flexor MN,,,,,Traced,Reviewed,T1L,femur-tibia,flexion,Azevedo 2024 Appendix A1 pp3-4; A13-A14 pp34-37,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Ta depressor,1,False
male-cns:v1.0,male-cns:v1.0:867630,867630,Acc. ti flexor MN,Acc. ti flexor MN_L,front,fl,L,,T1,ProLN,vnc_motor,13156,Acc. ti flexor MN,,,,,Traced,Reviewed,T1L,femur-tibia,flexion,Azevedo 2024 Appendix A1 pp3-4; A13-A14 pp34-37,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,ltm,1,False
male-cns:v1.0,male-cns:v1.0:903298,903298,Acc. ti flexor MN,Acc. ti flexor MN_L,front,fl,L,,T1,ProLN,vnc_motor,16632,Acc. ti flexor MN,,,,,Traced,Reviewed,T1L,femur-tibia,flexion,Azevedo 2024 Appendix A1 pp3-4; A13-A14 pp34-37,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Acc. ti flexor,1,False
male-cns:v1.0,male-cns:v1.0:1050115387,1050115387,Acc. ti flexor MN,Acc. ti flexor MN_L,front,fl,L,,T1,ProLN,vnc_motor,15791,Acc. ti flexor MN,,,,,Traced,Reviewed,T1L,femur-tibia,flexion,Azevedo 2024 Appendix A1 pp3-4; A13-A14 pp34-37,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Acc. ti flexor,1,False
