bodyId,leg,current_type,current_mancType,mancBodyid,legacy_systematic_type,legacy_target,legacy_exit_nerve,legacy_class,comparison,maleCNS_leg_MN_same_manc_id_count,legacy_source_line,decision
825516,T1L,Acc. ti flexor MN,Acc. ti flexor MN,29554,MNfl46,Ta depressor,ProLN_L,motor neuron,different_joint_or_action,1,502,retain_as_separate_legacy_correspondence; no_overwrite
867630,T1L,Acc. ti flexor MN,Acc. ti flexor MN,13156,MNfl45,ltm,ProLN_L,motor neuron,different_joint_or_action,1,384,retain_as_separate_legacy_correspondence; no_overwrite
819278,T1L,Ta depressor MN,Ta depressor MN,18554,MNfl42,Acc. ti flexor,ProLN_L,motor neuron,different_joint_or_action,1,456,retain_as_separate_legacy_correspondence; no_overwrite
1050403926,T1L,Ta depressor MN,Ta depressor MN,15023,MNfl43,Acc. ti flexor,ProLN_L,motor neuron,different_joint_or_action,2,421,retain_as_separate_legacy_correspondence; no_overwrite
1050660827,T1L,Ta depressor MN,Ta depressor MN,166374,MNfl42,Acc. ti flexor,ProLN_L,motor neuron,different_joint_or_action,1,457,retain_as_separate_legacy_correspondence; no_overwrite
1050111955,T1L,Ta levator MN,Ta levator MN,25674,MNfl47,Ta depressor,ProLN_L,motor neuron,different_joint_or_action,1,492,retain_as_separate_legacy_correspondence; no_overwrite
819384,T1L,Ti flexor MN,Ti flexor MN,17885,MNfl28,Acc. ti flexor,ProLN_L,motor neuron,different_muscle_label_same_mapped_action,2,452,retain_as_separate_legacy_correspondence; no_overwrite
803412,T1L,Tr extensor MN,Tr extensor MN,11657,MNfl41,Ti extensor,ProLN_L,motor neuron,different_joint_or_action,1,366,retain_as_separate_legacy_correspondence; no_overwrite
911453,T1L,ltm MN,ltm MN,173560,MNfl37,Tr extensor,ProLN_L,motor neuron,different_joint_or_action,1,405,retain_as_separate_legacy_correspondence; no_overwrite
822047,T1L,ltm1-tibia MN,ltm1-tibia MN,19092,MNfl23,ltm,ProLN_L,motor neuron,long_tendon_location_or_granularity_difference,1,440,retain_as_separate_legacy_correspondence; no_overwrite
805309,T1L,ltm2-femur MN,ltm2-femur MN,20612,MNfl19,ltm1-tibia,ProLN_L,motor neuron,long_tendon_location_or_granularity_difference,1,430,retain_as_separate_legacy_correspondence; no_overwrite
1050340850,T1R,,,16658,MNfl23,ltm,ProLN_R,motor neuron,legacy_named_current_unresolved,1,441,retain_as_separate_legacy_correspondence; no_overwrite
