dataset,bodyId,type,instance,annotation_bodypart,subclass,superclass,somaSide,somaNeuromere,exitNerve,statusLabel,target_muscle,joint,anatomical_or_literature_action,action_mapping_status,evidence_source,evidence_table,limits,physiological_record_of_this_bodyId,incoming_edges,incoming_weight,top_3_presynaptic_bodies
male-cns:v1.0,10047,MNx02,MNx02_L,摂食筋群（口器・咽頭等）,pm,cb_motor,L,,PhN,Roughly traced,unassigned,,口器/咽頭関連注釈のみ。具体的筋/作用未同定,annotation_only,GUS26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,444,6510,"[{""bodyId"": ""16962"", ""type"": ""GNG174"", ""superclass"": ""cb_intrinsic"", ""weight"": 384}, {""bodyId"": ""48783"", ""type"": ""GNG206"", ""superclass"": ""cb_intrinsic"", ""weight"": 335}, {""bodyId"": ""16684"", ""type"": ""GNG174"", ""superclass"": ""cb_intrinsic"", ""weight"": 272}]"
male-cns:v1.0,10156,CvN6,CvN6_R,頸筋群,nm,cb_motor,R,,CvN,Roughly traced,VL1 (ventral longitudinal neck muscle),,頭部姿勢調整。各型の固定yaw/pitch/roll作用は割り当てない。個別回転軸はGOR24 Fig4i参照,exact_type_label_bridge,GOR24,data/nonleg_muscle_evidence.csv,GOR24 Fig4hでCvN4はVL2のみ、CvN5-8はVL1。固定方向の筋写像ではない。型名照合であり現在のMaleCNS活動ではない。,not_measured,726,8543,"[{""bodyId"": ""39102"", ""type"": ""GNG507"", ""superclass"": ""cb_intrinsic"", ""weight"": 345}, {""bodyId"": ""11211"", ""type"": ""CB0671"", ""superclass"": ""cb_intrinsic"", ""weight"": 341}, {""bodyId"": ""519266"", ""type"": ""OCG01f"", ""superclass"": ""visual_projection"", ""weight"": 286}]"
male-cns:v1.0,10331,MN9,MN9_L,摂食筋群（口器・咽頭等）,pm,cb_motor,L,,PhN,Roughly traced,m9,,rostrumを頭部外へ突出（腹側へ）。haustellum伸展との連動,exact_type_label_bridge,MCK20,data/nonleg_muscle_evidence.csv,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。,not_measured,518,6358,"[{""bodyId"": ""10833"", ""type"": ""DNge062"", ""superclass"": ""descending_neuron"", ""weight"": 464}, {""bodyId"": ""10881"", ""type"": ""GNG120"", ""superclass"": ""cb_intrinsic"", ""weight"": 359}, {""bodyId"": ""13754"", ""type"": ""GNG130"", ""superclass"": ""cb_intrinsic"", ""weight"": 357}]"
male-cns:v1.0,10383,PS349,PS349_R,rm群（網膜筋候補・未確定）,rm,cb_motor,R,,AN,Roughly traced,unassigned,,網膜注釈のみ。具体的筋/作用未同定,annotation_only,FEN22,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,505,5411,"[{""bodyId"": ""523372"", ""type"": ""PS308"", ""superclass"": ""cb_intrinsic"", ""weight"": 483}, {""bodyId"": ""555827"", ""type"": ""GNG556"", ""superclass"": ""cb_intrinsic"", ""weight"": 442}, {""bodyId"": ""12028"", ""type"": ""GNG556"", ""superclass"": ""cb_intrinsic"", ""weight"": 254}]"
male-cns:v1.0,10418,GNG649,GNG649_R,触角筋候補群,am,cb_motor,R,,AN,Roughly traced,unassigned,,触角注釈のみ。具体的筋/作用未同定,annotation_only,SUV23;OZD26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,342,2008,"[{""bodyId"": ""11234"", ""type"": ""GNG423"", ""superclass"": ""cb_intrinsic"", ""weight"": 75}, {""bodyId"": ""529710"", ""type"": ""LAL126"", ""superclass"": ""cb_intrinsic"", ""weight"": 68}, {""bodyId"": ""11636"", ""type"": ""LAL126"", ""superclass"": ""cb_intrinsic"", ""weight"": 63}]"
male-cns:v1.0,10538,MN2Db,MN2Db_R,摂食筋群（口器・咽頭等）,pm,cb_motor,R,,MxLbN,Prelim Roughly traced,m2D candidate,,補助rostrum退縮の亜型候補,candidate_subtype,MCK20;GUS26,data/nonleg_muscle_evidence.csv,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。,not_measured,362,3567,"[{""bodyId"": ""10864"", ""type"": ""GNG014"", ""superclass"": ""cb_intrinsic"", ""weight"": 276}, {""bodyId"": ""519659"", ""type"": ""GNG140"", ""superclass"": ""cb_intrinsic"", ""weight"": 262}, {""bodyId"": ""10163"", ""type"": ""DNge036"", ""superclass"": ""descending_neuron"", ""weight"": 136}]"
male-cns:v1.0,10554,GNG648,GNG648_R,頸筋群,nm,cb_motor,R,LB,CvN,Roughly traced,unassigned,,頸部注釈のみ。具体的筋/作用未同定,annotation_only,GOR24;BANC26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,563,9723,"[{""bodyId"": ""11629"", ""type"": ""GNG546"", ""superclass"": ""cb_intrinsic"", ""weight"": 382}, {""bodyId"": ""555991"", ""type"": ""AN03A002"", ""superclass"": ""ascending_neuron"", ""weight"": 346}, {""bodyId"": ""11158"", ""type"": ""DNge026"", ""superclass"": ""descending_neuron"", ""weight"": 248}]"
male-cns:v1.0,10619,MN12D,MN12D_R,摂食筋群（口器・咽頭等）,pm,cb_motor,R,,PhN,Prelim Roughly traced,m12D (pharyngeal musculature),,咽頭ポンプに関連する筋。各型の詳細作用は今回未検証,exact_type_label_bridge,MCK20,data/nonleg_muscle_evidence.csv,筋同定資料とポンプ作動を区別。MN12DとMN12Vは近接命名で機能類似を含意しない。,not_measured,893,10094,"[{""bodyId"": ""533971"", ""type"": ""MNx01"", ""superclass"": ""cb_motor"", ""weight"": 498}, {""bodyId"": ""12203"", ""type"": ""GNG099"", ""superclass"": ""cb_intrinsic"", ""weight"": 431}, {""bodyId"": ""533975"", ""type"": ""GNG040"", ""superclass"": ""cb_intrinsic"", ""weight"": 395}]"
male-cns:v1.0,10627,CvN5,CvN5_R,頸筋群,nm,cb_motor,R,LB,CvN,Roughly traced,VL1 (ventral longitudinal neck muscle),,頭部姿勢調整。各型の固定yaw/pitch/roll作用は割り当てない。個別回転軸はGOR24 Fig4i参照,exact_type_label_bridge,GOR24,data/nonleg_muscle_evidence.csv,GOR24 Fig4hでCvN4はVL2のみ、CvN5-8はVL1。固定方向の筋写像ではない。型名照合であり現在のMaleCNS活動ではない。,not_measured,987,13050,"[{""bodyId"": ""10751"", ""type"": ""GNG507"", ""superclass"": ""cb_intrinsic"", ""weight"": 430}, {""bodyId"": ""11803"", ""type"": ""CB0671"", ""superclass"": ""cb_intrinsic"", ""weight"": 348}, {""bodyId"": ""14293"", ""type"": ""GNG163"", ""superclass"": ""cb_intrinsic"", ""weight"": 286}]"
male-cns:v1.0,10699,GNG648,GNG648_L,頸筋群,nm,cb_motor,L,LB,CvN,Roughly traced,unassigned,,頸部注釈のみ。具体的筋/作用未同定,annotation_only,GOR24;BANC26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,596,8650,"[{""bodyId"": ""11643"", ""type"": ""GNG546"", ""superclass"": ""cb_intrinsic"", ""weight"": 339}, {""bodyId"": ""19124"", ""type"": ""AN03A002"", ""superclass"": ""ascending_neuron"", ""weight"": 311}, {""bodyId"": ""11424"", ""type"": ""DNge026"", ""superclass"": ""descending_neuron"", ""weight"": 272}]"
