group_id,canonical,leg,joint,bodyId,type,instance,somaSide,somaNeuromere,display_evidence_class,legacy_comparison,physiological_action_in_this_cell_measured
T1L:knee_extensor,knee_extensor,T1L,femur-tibia,800636,Ti extensor MN,Ti extensor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:knee_extensor,knee_extensor,T1L,femur-tibia,815344,Ti extensor MN,Ti extensor MN_L,L,T1,annotation_only,legacy_target_missing,False
T1L:knee_flexor,knee_flexor,T1L,femur-tibia,806599,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:knee_flexor,knee_flexor,T1L,femur-tibia,807165,Ti flexor MN,Ti flexor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:knee_flexor,knee_flexor,T1L,femur-tibia,809912,Ti flexor MN,Ti flexor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:knee_flexor,knee_flexor,T1L,femur-tibia,815246,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:knee_flexor,knee_flexor,T1L,femur-tibia,816215,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:knee_flexor,knee_flexor,T1L,femur-tibia,816404,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:knee_flexor,knee_flexor,T1L,femur-tibia,817283,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:knee_flexor,knee_flexor,T1L,femur-tibia,818057,Ti flexor MN,Ti flexor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:knee_flexor,knee_flexor,T1L,femur-tibia,819384,Ti flexor MN,Ti flexor MN_L,L,T1,confirmed_direction_candidate,different_muscle_label_same_mapped_action,False
T1L:knee_flexor,knee_flexor,T1L,femur-tibia,819869,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:knee_flexor,knee_flexor,T1L,femur-tibia,825516,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T1,annotation_only,different_joint_or_action,False
T1L:knee_flexor,knee_flexor,T1L,femur-tibia,867630,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T1,annotation_only,different_joint_or_action,False
T1L:knee_flexor,knee_flexor,T1L,femur-tibia,903298,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
