prestate,quality_only,group,window,n_trials,n_flies,phase_equal_fly_circmean_deg,n_returned,n_phase_closer_0,n_0_preferred_not_returned,activity_mae_equal_fly_deg,fixed0_mae_equal_fly_deg,fixed90_mae_equal_fly_deg,shifted_mae_equal_fly_deg,conditioned_shift_n_trials,conditioned_shift_n_flies,conditioned_shift_actual_mae_equal_fly_deg,conditioned_shift_control_mae_equal_fly_deg
pre60_stable,False,EPG,5-10s,105,9,69.01249855419691,33,30,24,75.36766069151251,58.3064966529416,67.02968958603677,72.26847581735929,104,9,73.96862167916848,74.50693772701334
pre60_stable,False,EPG,30-60s,105,9,69.01249855419691,51,30,16,88.73152925057299,46.451116087232116,90.53910079421725,83.56669009438713,104,9,87.68629098946063,84.77756217522891
pre60_stable,True,EPG,5-10s,74,9,77.52820073615607,24,16,12,70.3078729281313,58.053513798679646,74.74724329007728,68.59940220116582,72,9,66.15581081411584,83.54739223154851
pre60_stable,True,EPG,30-60s,74,9,77.52820073615607,33,16,9,91.41460613399676,50.21437063168221,89.87141604265679,83.83833607344678,72,9,91.60757866122984,81.76936680635511
pre60_stable,False,FC2,5-10s,143,15,11.916706241123245,41,113,77,67.17080641609522,72.32082520265185,48.72840294922317,81.91161203330147,143,15,67.17080641609522,70.92885867002943
pre60_stable,False,FC2,30-60s,143,15,11.916706241123245,51,113,74,63.035140813440385,61.37820679627815,81.98558828085937,77.99266235014305,143,15,63.035140813440385,62.65380384252439
pre60_stable,True,FC2,5-10s,74,14,16.15112344980206,27,61,37,62.35145001456126,69.26588833491975,54.91944722036102,84.29270375694107,71,13,58.302784705149065,61.22163363248667
pre60_stable,True,FC2,30-60s,74,14,16.15112344980206,33,61,36,64.5843708200837,60.2781365552922,79.0603183238375,77.29458247109174,71,13,66.66780242479635,56.64000148473401
pre60_stable_10s,False,EPG,5-10s,101,9,79.42164026304548,33,27,21,76.28453151850164,56.494491815613685,67.45871801852039,73.51236702259808,99,9,76.05900770509072,76.7677869517386
pre60_stable_10s,False,EPG,30-60s,101,9,79.42164026304548,50,27,14,89.92897164143123,43.226254605438655,92.93491373853968,86.91998077173614,99,9,91.62467079477716,87.10801562088504
pre60_stable_10s,True,EPG,5-10s,71,9,92.82993812223427,24,14,10,70.15724401189556,56.50812843940335,74.60838493205935,69.67036413598468,70,9,67.00077261291729,80.68008611434688
pre60_stable_10s,True,EPG,30-60s,71,9,92.82993812223427,32,14,8,93.242783890166,44.3285553405358,91.30383719421424,90.05099188792416,70,9,91.35501233729983,85.85780338798668
pre60_stable_10s,False,FC2,5-10s,124,15,15.717148446456244,41,96,60,60.667282501919054,69.99299930993548,48.55703068654631,82.76021608676227,122,14,62.10271999139989,67.84004935203681
pre60_stable_10s,False,FC2,30-60s,124,15,15.717148446456244,48,96,59,59.40901366509861,59.987383457540325,85.13488142910752,77.31912840312631,122,14,62.80232631498637,61.76893671527811
pre60_stable_10s,True,FC2,5-10s,68,13,17.702308591138063,27,55,31,62.817156476767884,69.73821244251383,63.63626892356246,82.87323580876202,65,12,52.7622008647522,56.50536889600935
pre60_stable_10s,True,FC2,30-60s,68,13,17.702308591138063,32,55,31,63.27326535261867,55.69354423321068,85.88515387161557,73.93305352389076,65,12,66.05734945576256,54.642734006776244
pre5_stable_1s,False,EPG,5-10s,120,9,67.23043915012309,38,40,30,71.28789975068473,60.59195580195266,64.47224630094678,73.81737783139233,120,9,71.28789975068473,72.11070025852278
pre5_stable_1s,False,EPG,30-60s,120,9,67.23043915012309,57,40,23,86.58499132581707,49.03494546937466,92.44691726892864,88.45552453694798,120,9,86.58499132581707,87.71341021441332
pre5_stable_1s,True,EPG,5-10s,81,9,76.0167510401091,27,19,13,67.63806874511903,59.86865646175381,68.13498703236435,66.83225136304898,80,9,65.193090649313,70.51727828015198
pre5_stable_1s,True,EPG,30-60s,81,9,76.0167510401091,38,19,11,82.04869388626882,45.22015009340861,92.45049008010483,85.02496443665257,80,9,80.78524463036118,79.22857471468494
pre5_stable_1s,False,FC2,5-10s,166,15,11.485111429222108,48,140,96,74.69071123690405,77.95051671218907,60.13382426127422,73.49726030980506,165,14,69.28945456216259,70.27446194035072
pre5_stable_1s,False,FC2,30-60s,166,15,11.485111429222108,59,140,90,74.78315304051496,71.97357120278949,83.43171242320598,80.50333368644442,165,14,71.04904797055549,73.99340809846578
pre5_stable_1s,True,FC2,5-10s,102,14,14.094216370321345,32,87,58,65.90884841819566,71.46771632394731,60.17937595043891,74.85499065353083,102,14,65.90884841819566,70.40798862483192
pre5_stable_1s,True,FC2,30-60s,102,14,14.094216370321345,43,87,52,69.15983412965305,63.11824960403401,82.81508870511482,70.3537386713948,102,14,69.15983412965305,66.71726822414206
pre60_not_stable,False,EPG,5-10s,55,9,55.81979800281209,11,27,20,56.9906840868152,63.763000478227156,60.88413766773613,78.47167457626566,52,8,64.54177421538382,67.41508111382859
pre60_not_stable,False,EPG,30-60s,55,9,55.81979800281209,21,27,17,75.7814746405838,51.78482119905456,89.917018893729,77.19229283446742,52,8,76.44282553892023,69.22428633882834
pre60_not_stable,True,EPG,5-10s,39,9,66.54930677963861,8,13,8,56.03158901794695,64.85262657274377,62.22839870016915,75.72886326512736,36,8,62.0458740343787,68.28035781809373
pre60_not_stable,True,EPG,30-60s,39,9,66.54930677963861,16,13,8,73.34862031233719,48.15301449948165,89.39153863441756,77.0532315583094,36,8,72.30682941953224,69.39655659196211
pre60_not_stable,False,FC2,5-10s,127,15,8.05329232153055,26,104,81,73.25675417699965,75.1212905870697,53.45489658649301,66.36144950894032,125,15,72.63706742605953,70.29414687456688
pre60_not_stable,False,FC2,30-60s,127,15,8.05329232153055,20,104,85,83.79708340820562,88.80689077194471,83.46012462561836,76.6733691820324,125,15,83.6333637681348,83.64764790398051
pre60_not_stable,True,FC2,5-10s,69,15,6.7431283586466,11,62,52,77.53115121476922,80.19743579488093,58.0839695284224,64.14064720062807,62,13,76.88594959583205,75.87171192479455
pre60_not_stable,True,FC2,30-60s,69,15,6.7431283586466,15,62,48,84.47121867608759,85.74180664183031,82.4361979459406,68.9629380669771,62,13,86.8288300517249,87.10346440718266
