entity_id,ref,bodyId,type,instance,somaSide,somaNeuromere,dataset,connectome_sex,target_groups_t10,predictedNt,evidence_level,experimental_type,experiment_sex,recording_or_intervention_side,driver,activity_correlation,sufficiency,necessity,data_access,primary_sources,type_mapping_evidence,limitations,same_physical_recorded_cell
male-cns:v1.0:10124,DNg105・male-cns:v1.0:10124,10124,DNg105,DNg105_L,L,MX,male-cns:v1.0,male,T1R:knee_extensor|T1R:knee_flexor|T1R:root_pra|T1R:root_promotor|T1R:root_sar|T2R:knee_extensor|T2R:knee_flexor|T2R:root_pra|T2R:root_sar|T2R:root_spr|T3R:knee_extensor|T3R:knee_flexor|T3R:root_pra|T3R:root_sar|T3R:root_spr,gaba,previous_no_new_activity,DNg105,unresolved,unresolved,unresolved for functional measurements,no added individual natural activity record identified in this bounded search,not established,not established,previous structural evidence remains available; no activity raw acquired,MaleCNS structural evidence: data/studied_totals.csv and data/connectivity/studied_incoming.csv.gz; no added activity source identified in the bounded search,previous MaleCNS individual identity preserved,bounded search not evidence of nonexistence; MaleCNS GABA prediction versus VFB ACh description unresolved,False
male-cns:v1.0:800687,IN19A003・male-cns:v1.0:800687,800687,IN19A003,IN19A003_R,R,T2,male-cns:v1.0,male,T2R:root_pra|T2R:root_spr,gaba,previous_no_new_activity,IN19A003,unresolved,unresolved,unresolved for functional measurements,no added individual natural activity record identified in this bounded search,not established,not established,previous structural evidence remains available; no activity raw acquired,MaleCNS structural evidence: data/studied_totals.csv and data/connectivity/studied_incoming.csv.gz; no added activity source identified in the bounded search,previous MaleCNS individual identity preserved,bounded search not evidence of nonexistence,False
male-cns:v1.0:801747,IN19A013・male-cns:v1.0:801747,801747,IN19A013,IN19A013_R,R,T2,male-cns:v1.0,male,T2R:root_pra|T2R:root_spr,gaba,previous_no_new_activity,IN19A013,unresolved,unresolved,unresolved for functional measurements,no added individual natural activity record identified in this bounded search,not established,not established,previous structural evidence remains available; no activity raw acquired,MaleCNS structural evidence: data/studied_totals.csv and data/connectivity/studied_incoming.csv.gz; no added activity source identified in the bounded search,previous MaleCNS individual identity preserved,bounded search not evidence of nonexistence,False
male-cns:v1.0:10734,DNg93・male-cns:v1.0:10734,10734,DNg93,DNg93_L,L,,male-cns:v1.0,male,T1L:knee_extensor|T1L:root_pra|T1R:knee_extensor|T1R:knee_flexor|T1R:root_pra|T1R:root_promotor|T1R:root_sar|T1R:root_spr|T2R:knee_extensor|T2R:knee_flexor|T2R:root_pra|T2R:root_sad|T2R:root_sar|T2R:root_spr|T3R:knee_extensor|T3R:knee_flexor|T3R:root_pra|T3R:root_sar|T3R:root_spr|neck_CvN7,gaba,previous_no_new_activity,DNg93,unresolved,unresolved,SS93763 (Gad1 expression evidence only),no added individual natural activity record identified in this bounded search,not established,not established,previous structural evidence remains available; no activity raw acquired,MaleCNS structural evidence: data/studied_totals.csv and data/connectivity/studied_incoming.csv.gz; no added activity source identified in the bounded search; Cheong2026 Supplementary Table 2,"previous MaleCNS individual identity preserved; SS93763 has two Gad1-positive samples, transmitter evidence only",bounded search not evidence of nonexistence; Gad1 expression is not functional activity,False
male-cns:v1.0:525454,DNg74_b・male-cns:v1.0:525454,525454,DNg74_b,DNg74_b_R,R,MX,male-cns:v1.0,male,T1L:knee_extensor|T1L:knee_flexor|T1L:root_pra|T1L:root_promotor|T1L:root_sar|T1L:root_spr|T2L:knee_extensor|T2L:knee_flexor|T2L:root_pra|T2L:root_sar|T2L:root_spr|T3L:knee_extensor|T3L:knee_flexor|T3L:root_pra|T3L:root_sar|T3L:root_spr,gaba,type_bridge_supports_activity_with_driver_subtype_caveat,DNg74 / web,female; adult calcium imaging,imaging left front-leg neuromere; single-pair driver,VT043284-AD x VT023750-DBD; BDSC88921; jGCaMP7f + tdTomato,"Ca high at rest, falls during active walking/grooming; n=6 flies74trials; also low when front leg rests but other legs groom",DNg74 coactivation effects in Fig5i are simulation; not accepted as in vivo sufficiency,no type-specific in vivo necessity established by inspected Dallmann experiments,web_treadmill.parquet94171073 bytes located; current API download401; no numerical array acquired,"Dallmann2025 Fig5/Extended10; suppl1 genotype rows25/10; suppl2 rows178-179,186-187",primary supp2 FlyWire720575940636656632/720575940627087646; VFB FBbt_20007676 classifies same IDs as DNg74_b and lists MaleCNS10520/525454,bridge links connectome types; experimental driver morphologic matching to b is not revalidated here; never assign this result to a; Ca not measured spikes; female/male boundary,False
male-cns:v1.0:10131,DNg74_a・male-cns:v1.0:10131,10131,DNg74_a,DNg74_a_R,R,MX,male-cns:v1.0,male,T1L:knee_extensor|T1L:knee_flexor|T1L:root_pra|T1L:root_promotor|T1L:root_sar|T1L:root_spr|T2L:knee_extensor|T2L:root_pra|T2L:root_spr|T3L:root_pra|T3L:root_sar|T3L:root_spr|feeding_MN9,gaba,subtype_not_linked_to_activity,DNg74_a,unresolved,unresolved,Dallmann web driver not assigned to this subtype,not linked: inspected primary DNg74 FlyWire IDs belong to b in current VFB,not established,not established,no subtype a numerical activity data acquired,Dallmann2025 suppl2; VFB FBbt_20007675/676,VFB a lists MaleCNS10131/10247 and FlyWire720575940622500172/720575940633529548; distinct from Dallmann IDs,same DNg74 stem is insufficient; no claim no studies exist,False
male-cns:v1.0:800736,IN03A010・male-cns:v1.0:800736,800736,IN03A010,IN03A010_R,R,T2,male-cns:v1.0,male,T2R:knee_extensor|T2R:root_pra|T2R:root_spr,acetylcholine,previous_no_new_activity,IN03A010,unresolved,unresolved,unresolved for functional measurements,no added individual natural activity record identified in this bounded search,not established,not established,previous structural evidence remains available; no activity raw acquired,MaleCNS structural evidence: data/studied_totals.csv and data/connectivity/studied_incoming.csv.gz; no added activity source identified in the bounded search,previous MaleCNS individual identity preserved,bounded search not evidence of nonexistence,False
male-cns:v1.0:10520,DNg74_b・male-cns:v1.0:10520,10520,DNg74_b,DNg74_b_L,L,MX,male-cns:v1.0,male,T1R:knee_extensor|T1R:knee_flexor|T1R:root_pra|T1R:root_promotor|T1R:root_spr|T2R:knee_extensor|T2R:knee_flexor|T2R:root_pra|T2R:root_sad|T2R:root_sar|T2R:root_spr|T3R:knee_extensor|T3R:knee_flexor|T3R:root_pra|T3R:root_sar|T3R:root_spr|neck_CvN7,gaba,type_bridge_supports_activity_with_driver_subtype_caveat,DNg74 / web,female; adult calcium imaging,imaging left front-leg neuromere; single-pair driver,VT043284-AD x VT023750-DBD; BDSC88921; jGCaMP7f + tdTomato,"Ca high at rest, falls during active walking/grooming; n=6 flies74trials; also low when front leg rests but other legs groom",DNg74 coactivation effects in Fig5i are simulation; not accepted as in vivo sufficiency,no type-specific in vivo necessity established by inspected Dallmann experiments,web_treadmill.parquet94171073 bytes located; current API download401; no numerical array acquired,"Dallmann2025 Fig5/Extended10; suppl1 genotype rows25/10; suppl2 rows178-179,186-187",primary supp2 FlyWire720575940636656632/720575940627087646; VFB FBbt_20007676 classifies same IDs as DNg74_b and lists MaleCNS10520/525454,bridge links connectome types; experimental driver morphologic matching to b is not revalidated here; never assign this result to a; Ca not measured spikes; female/male boundary,False
male-cns:v1.0:10247,DNg74_a・male-cns:v1.0:10247,10247,DNg74_a,DNg74_a_L,L,MX,male-cns:v1.0,male,T1R:knee_extensor|T1R:root_pra|T1R:root_promotor|T1R:root_sar|T2R:root_pra|T2R:root_spr|T3R:knee_extensor|T3R:root_pra|T3R:root_sar|T3R:root_spr,gaba,subtype_not_linked_to_activity,DNg74_a,unresolved,unresolved,Dallmann web driver not assigned to this subtype,not linked: inspected primary DNg74 FlyWire IDs belong to b in current VFB,not established,not established,no subtype a numerical activity data acquired,Dallmann2025 suppl2; VFB FBbt_20007675/676,VFB a lists MaleCNS10131/10247 and FlyWire720575940622500172/720575940633529548; distinct from Dallmann IDs,same DNg74 stem is insufficient; no claim no studies exist,False
male-cns:v1.0:10045,DNg100・male-cns:v1.0:10045,10045,DNg100,DNg100_L,L,,male-cns:v1.0,male,T1R:root_pra|T1R:root_promotor|T1R:root_spr|T2R:knee_extensor|T2R:knee_flexor|T2R:root_pra|T2R:root_sar|T2R:root_spr|T3R:knee_extensor|T3R:root_pra|T3R:root_sar|T3R:root_spr,acetylcholine,type_matched_recording_and_perturbation,BDN2 / DNg100,"female; activation/silencing 6-9 days, in vivo Ca methods4-7 days",bilateral driver; Fig3l left and right Ca channels,VT058557-AD x R85F12-DBD; OpGCaMP6f/CsChrimson/GtACR1,Sapkal Ca forward but not angular velocity correlation; Fig3l example numerical series obtained; paper n=3,activation initiates forward walking in intact and decapitated flies,GtACR1 reduces free forward velocity under warm assay; does not prove all forward locomotion requires this type,published Fig3 data XLSX acquired14.47MB; full Fig3 ZIP13.15GB located but not fetched; units mm/s verified in Fig3; author code uses ON-window per-trial medians averaged over first three trials; XLSX rows not regenerated from tracking raw,Sapkal2024 Fig3j-l/Extended6e; Dallmann2025 suppl1-2,Sapkal Supplementary Table 3 (source/sapkal_supp4.xlsx) FlyWire row8 BDN2=DNg100; FANC+MANC row6 MANC10093/10339; VFB maps these and MaleCNS10045/10056,recorded females not MaleCNS male; no individual ID/time column in Fig3l spreadsheet; original display/sample processing not reversed; Dallmann DNg100 activation to hook uses indirect circuit,False
