fly,kind,signal,target,r0,r150,shift1_r150,shift2_r150,peak_abs_r,peak_abs_lag_ms,n_valid_r150,numerical_valid,status,analysis_status,reasons,reason,metrics_computed,record_complete,author_reference_eligible,main_summary_eligible
a1_a2_d_01,same_side_cross_type,a2_l_rate,a1_l_rate,0.668933928828413,0.5405151552948444,0.015746504633837304,-0.004109282711829759,0.668933928828413,0,344768,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a1_a2_d_01,same_side_cross_type,A_minus_B,yaw,-0.03784336011396211,-0.1532985637667139,-0.010024194914525907,-0.01043790907892183,-0.17042171525416802,210,344768,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a1_a2_d_01,same_side_cross_type,A_plus_B,yaw,-0.031337412985217514,-0.07101471556134308,0.008951453721479728,0.019992846533348374,-0.10838716105961793,-500,344768,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a2_d_08,bilateral_same_type,a2_l_rate,a2_r_rate,0.24787399245085254,0.25306874857301304,-0.021796124021151747,0.006340530110492401,0.25754510539795933,90,314583,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a2_d_08,bilateral_same_type,A_minus_B,yaw,-0.13113737861304775,-0.37966585475298054,-0.007178831416051033,-0.006539765862157951,-0.3969442329429274,180,314583,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a2_d_08,bilateral_same_type,A_plus_B,yaw,-0.028530894859482087,-0.03062002565816584,0.009999643798968097,0.013915922691074762,-0.033505249570112416,90,314583,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a2_d_12,bilateral_same_type,a2_l_rate,a2_r_rate,0.03725894052231517,0.08423899543464579,-0.016571598217848118,-0.01606984194882809,0.08442442984704952,140,136253,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a2_d_12,bilateral_same_type,A_minus_B,yaw,-0.4170537981571298,-0.7119838534002212,-0.013510537305664852,-0.01214674434624797,-0.724853978549763,170,136253,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a2_d_12,bilateral_same_type,A_plus_B,yaw,0.05044880840361481,0.036666630158649724,-0.004731435327064157,-0.004671449458606313,0.09376924885145288,370,136253,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a2_d_13,bilateral_same_type,a2_l_rate,a2_r_rate,0.24297369462630042,0.23535719260518714,0.03656561979570236,-0.004705882452827985,0.24297369462630042,0,52333,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a2_d_13,bilateral_same_type,A_minus_B,yaw,-0.03768730963212995,-0.2957955219966956,-0.01590139610348591,0.07249891171876924,-0.3027893202687747,170,52333,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a2_d_13,bilateral_same_type,A_plus_B,yaw,0.028733711800970688,0.09755243589462063,0.01479064290873448,-0.08561672686474105,0.1000536441648136,170,52333,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a1_a2_d_02,same_side_cross_type,a2_l_rate,a1_l_rate,0.6017298205173219,0.5771943168618496,-0.12432044082653151,0.007360681390843927,0.6104441538797118,30,144783,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a1_a2_d_02,same_side_cross_type,A_minus_B,yaw,0.09831291671634747,-0.09935087190348953,-0.0030807156635691588,-0.01970049999850618,-0.14690632361095785,230,144783,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a1_a2_d_02,same_side_cross_type,A_plus_B,yaw,-0.26424075515396533,-0.38430573728450046,-0.00217431208389932,0.011775433379375703,-0.38595324510174833,160,144783,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a1_a2_d_03,same_side_cross_type,a2_l_rate,a1_l_rate,0.7089692624542637,0.6654977502475451,-0.11531913309289554,-0.05729510405516963,0.7163521202349673,30,248283,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a1_a2_d_03,same_side_cross_type,A_minus_B,yaw,0.022384458788891823,-0.11146521917426011,0.017416639046526003,-0.011772583632654049,-0.18300990341426496,350,248283,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a1_a2_d_03,same_side_cross_type,A_plus_B,yaw,-0.3207346006794573,-0.44450570406315515,0.010164390898809363,0.0038194253797661152,-0.45644092706510975,190,248283,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a2_d_14,bilateral_same_type,a2_l_rate,a2_r_rate,0.2381074584482423,0.16801551563852488,0.01682648712920713,0.06557186990110925,0.2384675202632879,-10,132057,True,usable,usable,[],required_correlations_numerically_valid,True,True,False,False
a2_d_14,bilateral_same_type,A_minus_B,yaw,-0.26880861963102676,-0.49082686701715456,0.021836442224846105,-0.0009066535905324799,-0.49405292170619625,160,132057,True,usable,usable,[],required_correlations_numerically_valid,True,True,False,False
a2_d_14,bilateral_same_type,A_plus_B,yaw,0.10183858092412454,0.09960633954024901,-0.010560266162606701,-0.0024089425132381866,0.12100984631277341,280,132057,True,usable,usable,[],required_correlations_numerically_valid,True,True,False,False
a1_d_07,bilateral_same_type,a1_l_rate,a1_r_rate,0.5674556769984508,0.4757345754132748,0.035839665413379525,-0.02664124501785428,0.567630903075247,-10,157233,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a1_d_07,bilateral_same_type,A_minus_B,yaw,-0.2769536298719815,-0.43981480856993976,0.020447987062992837,0.005527863300920612,-0.4408290222148685,160,157233,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
a1_d_07,bilateral_same_type,A_plus_B,yaw,-0.06332533385703662,-0.07562276888154526,0.026173419924988464,0.002994731661172336,-0.08057841726751672,210,157233,True,usable,usable,[],required_correlations_numerically_valid,True,True,True,True
