fly,neuron,prominence_multiplier,spikes,fraction_ISI_under2ms,yaw_r150
a2_s_03,a2_l,0.75,28579,0.0,-0.23019137400201276
a2_s_03,a2_l,1,23807,0.0,-0.2599739118825874
a2_s_03,a2_l,1.25,23133,0.0,-0.26264338053365077
a2_s_03,a2_l,1.5,22317,0.0,-0.25793302537899265
a2_s_03,a2_l,2,12434,0.0,-0.22627588418866315
a2_s_03,a2_l,2.5,2989,0.0,-0.1421255999523453
a2_s_04,a2_l,0.75,46690,0.0,-0.44106859888715644
a2_s_04,a2_l,1,42361,0.0,-0.4656409135923503
a2_s_04,a2_l,1.25,40967,0.0,-0.46265314532258334
a2_s_04,a2_l,1.5,34797,0.0,-0.4532143379429234
a2_s_04,a2_l,2,10045,0.0,-0.37871795552404447
a2_s_04,a2_l,2.5,1400,0.0,-0.25144179077969014
a2_s_05,a2_l,0.75,35755,0.0,-0.45716515425046955
a2_s_05,a2_l,1,31689,0.0,-0.45850267443452536
a2_s_05,a2_l,1.25,25326,0.0,-0.43828580967413727
a2_s_05,a2_l,1.5,16523,0.0,-0.37610837138064707
a2_s_05,a2_l,2,2736,0.0,-0.18888170471682153
a2_s_05,a2_l,2.5,106,0.0,-0.07172354486758153
a2_s_06,a2_l,0.75,31041,0.0,-0.46298720513397285
a2_s_06,a2_l,1,25143,0.0,-0.48873111493300003
a2_s_06,a2_l,1.25,23518,0.0,-0.4947670849512171
a2_s_06,a2_l,1.5,22543,0.0,-0.4912109021265172
a2_s_06,a2_l,2,16269,0.0,-0.4559379861167806
a2_s_06,a2_l,2.5,6307,0.0,-0.37038798312378673
a1_s_02,a1_l,0.75,86927,0.0,-0.3459026433683229
a1_s_02,a1_l,1,61952,0.0,-0.31158720986599064
a1_s_02,a1_l,1.25,26596,0.0,-0.2202713521396785
a1_s_05,a1_l,0.75,44625,0.0001120473287916816,-0.18890991481494984
a1_s_05,a1_l,1,31676,9.471191791633781e-05,-0.22454306795792212
a1_s_05,a1_l,1.25,21826,9.163802978235968e-05,-0.2614025433334755
a1_s_08,a1_l,0.75,27837,0.0,-0.26474868540901103
a1_s_08,a1_l,1,23454,0.0,-0.2660726641864314
a1_s_08,a1_l,1.25,19089,0.0,-0.2462087690936172
a1_s_03,a1_l,0.75,65245,0.0,-0.16780682208011324
a1_s_03,a1_l,1,60328,0.0,-0.1775333680633126
a1_s_03,a1_l,1.25,58700,0.0,-0.17813400707815047
a1_s_06,a1_l,0.75,77684,0.0,-0.2303634450436561
a1_s_06,a1_l,1,71935,0.0,-0.23533751254900923
a1_s_06,a1_l,1.25,55090,0.0,-0.206871827438906
a1_s_07,a1_l,0.75,100686,0.0,-0.07284795479539964
a1_s_07,a1_l,1,89004,0.0,-0.06713387402022836
a1_s_07,a1_l,1.25,50282,0.0,-0.08674692888232367
a2_s_01,a2_l,0.75,38410,0.0,-0.2803410109279841
a2_s_01,a2_l,1,30036,0.0,-0.3005774831644207
a2_s_01,a2_l,1.25,28407,0.0,-0.30286071998484765
a2_s_01,a2_l,1.5,27860,0.0,-0.3029352615722223
a2_s_01,a2_l,2,20260,0.0,-0.30886846878041474
a2_s_01,a2_l,2.5,7031,0.0,-0.3033235928149581
a2_s_07,a2_l,0.75,25376,0.0,-0.2414101802068453
a2_s_07,a2_l,1,21851,0.0,-0.247677580512819
a2_s_07,a2_l,1.25,20731,0.0,-0.25024991852077577
a2_s_07,a2_l,1.5,18552,0.0,-0.2552345931663771
a2_s_07,a2_l,2,9254,0.0,-0.2630049419057352
a2_s_07,a2_l,2.5,2177,0.0,-0.2237465741893335
a2_s_08,a2_l,0.75,45486,0.0,-0.2233317402446095
a2_s_08,a2_l,1,39434,0.0,-0.2354091749071834
a2_s_08,a2_l,1.25,38556,0.0,-0.2361317209005609
a2_s_08,a2_l,1.5,38216,0.0,-0.23364844331989426
a2_s_08,a2_l,2,27854,0.0,-0.22759274864693577
a2_s_08,a2_l,2.5,6567,0.0,-0.21160438039881907
a1_a2_d_01,a2_l,0.75,61652,3.2441200324412e-05,-0.10119572017596966
a1_a2_d_01,a2_l,1,51416,0.0,-0.12029490042799688
a1_a2_d_01,a2_l,1.25,48132,0.0,-0.12244313556274197
a1_a2_d_01,a2_l,1.5,42336,0.0,-0.1326099039225439
a1_a2_d_01,a2_l,2,16139,0.0,-0.20365140422090244
a1_a2_d_01,a2_l,2.5,3606,0.0,-0.19419238807243233
a1_a2_d_01,a1_l,0.75,88520,0.0,0.0042363756698516435
a1_a2_d_01,a1_l,1,73523,0.0,-0.002032376985872864
a1_a2_d_01,a1_l,1.25,50264,0.0,-0.035649015367905545
a2_d_08,a2_l,0.75,43915,0.0,-0.19651298761912803
a2_d_08,a2_l,1,32006,0.0,-0.23527109787018774
a2_d_08,a2_l,1.25,29689,0.0,-0.24365918274152967
a2_d_08,a2_l,1.5,28633,0.0,-0.2440616284741436
a2_d_08,a2_l,2,17323,0.0,-0.23141784795525433
a2_d_08,a2_l,2.5,4820,0.0,-0.17716390178211242
a2_d_08,a2_r,0.75,38402,0.0,0.18002078379588632
a2_d_08,a2_r,1,22158,0.0,0.23458528582683266
a2_d_08,a2_r,1.25,18618,0.0,0.25068052669267604
a2_d_08,a2_r,1.5,17822,0.0,0.2526511231259222
a2_d_08,a2_r,2,14711,0.0,0.24916759520107643
a2_d_08,a2_r,2.5,8382,0.0,0.22972138558348038
a2_d_12,a2_l,0.75,29174,0.0,-0.45547477055726754
a2_d_12,a2_l,1,26955,0.0,-0.4687802352988456
a2_d_12,a2_l,1.25,25369,0.0,-0.4637476451657237
a2_d_12,a2_l,1.5,21754,0.0,-0.4466696004903579
a2_d_12,a2_l,2,8602,0.0,-0.3514383202816555
a2_d_12,a2_l,2.5,772,0.0,-0.1988992116663629
a2_d_12,a2_r,0.75,26827,0.0,0.48634871924361245
a2_d_12,a2_r,1,23349,0.0,0.5185950804417025
a2_d_12,a2_r,1.25,22476,0.0,0.5229293503491158
a2_d_12,a2_r,1.5,22142,0.0,0.5203501634646562
a2_d_12,a2_r,2,17142,0.0,0.4969015159285517
a2_d_12,a2_r,2.5,6555,0.0,0.41538924995146376
a2_d_13,a2_l,0.75,4486,0.0,-0.09944024192939699
a2_d_13,a2_l,1,1723,0.0,-0.1393963178743936
a2_d_13,a2_l,1.25,1119,0.0,-0.14777436386170503
a2_d_13,a2_l,1.5,927,0.0,-0.1595517947522123
a2_d_13,a2_l,2,856,0.0,-0.1695921032045184
a2_d_13,a2_l,2.5,853,0.0,-0.16971181594812382
a2_d_13,a2_r,0.75,6050,0.0,0.18212375338958056
a2_d_13,a2_r,1,3902,0.0,0.2198811949473661
a2_d_13,a2_r,1.25,3133,0.0,0.24681965339590853
a2_d_13,a2_r,1.5,2753,0.0,0.2572974433707122
a2_d_13,a2_r,2,2565,0.0,0.26507308808351693
a2_d_13,a2_r,2.5,2544,0.0,0.2655358879728103
a1_a2_d_02,a2_l,0.75,56463,0.0,-0.43485356975498857
a1_a2_d_02,a2_l,1,33244,0.0,-0.3644349319147687
a1_a2_d_02,a2_l,1.25,7920,0.0,-0.27062743987588905
a1_a2_d_02,a2_l,1.5,956,0.0,-0.18354639964250885
a1_a2_d_02,a2_l,2,14,0.0,-0.07173560869335709
a1_a2_d_02,a2_l,2.5,0,nan,nan
a1_a2_d_02,a1_l,0.75,36647,0.0,-0.3941890412437037
a1_a2_d_02,a1_l,1,21993,0.0,-0.32086262101396096
a1_a2_d_02,a1_l,1.25,9508,0.0,-0.23469151885244902
a1_a2_d_03,a2_l,0.75,65638,0.0,-0.4326302474734538
a1_a2_d_03,a2_l,1,62534,0.0,-0.4286180353937198
a1_a2_d_03,a2_l,1.25,45864,0.0,-0.4441027487508701
a1_a2_d_03,a2_l,1.5,19678,0.0,-0.4192379206449339
a1_a2_d_03,a2_l,2,1670,0.0,-0.27535500260525114
a1_a2_d_03,a2_l,2.5,166,0.0,-0.16731281775961837
a1_a2_d_03,a1_l,0.75,66150,0.0,-0.40008948873861044
a1_a2_d_03,a1_l,1,59791,0.0,-0.3912029291402709
a1_a2_d_03,a1_l,1.25,42438,0.0,-0.38793335540699253
a2_d_14,a2_l,0.75,16910,0.0,-0.19449300731004132
a2_d_14,a2_l,1,9074,0.0,-0.25663820979582047
a2_d_14,a2_l,1.25,7101,0.0,-0.28655026188399113
a2_d_14,a2_l,1.5,6750,0.0,-0.2907984924678376
a2_d_14,a2_l,2,6675,0.0,-0.28900422443864654
a2_d_14,a2_l,2.5,5835,0.0,-0.2743237701079106
a2_d_14,a2_r,0.75,22841,0.0,0.31731671741702067
a2_d_14,a2_r,1,16208,0.0,0.34544281383316044
a2_d_14,a2_r,1.25,15170,0.0,0.34692799202318253
a2_d_14,a2_r,1.5,14924,0.0,0.33677801542476493
a2_d_14,a2_r,2,12044,0.0,0.2798958449342496
a2_d_14,a2_r,2.5,3571,0.0,0.17432360109077882
a1_d_07,a1_l,0.75,47151,2.1208907741251324e-05,-0.24242137758466517
a1_d_07,a1_l,1,46004,2.1737712757863617e-05,-0.25174939016598086
a1_d_07,a1_l,1.25,45602,2.1929343654744414e-05,-0.2554400856733246
a1_d_07,a1_r,0.75,37976,0.0,0.13983057413329303
a1_d_07,a1_r,1,35995,0.0,0.15486993686103495
a1_d_07,a1_r,1.25,35128,0.0,0.16088193800562425
a1_d_09,a1_l,0.75,44065,0.0,-0.23538870539999507
a1_d_09,a1_l,1,22089,0.0,-0.21289104523918218
a1_d_09,a1_l,1.25,12087,0.0,-0.17589037921288272
a1_d_09,a1_r,0.75,86821,0.0,0.3444629634761135
a1_d_09,a1_r,1,81364,0.0,0.34660175539564664
a1_d_09,a1_r,1.25,62056,0.0,0.3234364656448307
a1_a2_d_04,a2_l,0.75,49922,2.0032051282051282e-05,-0.27455322281745825
a1_a2_d_04,a2_l,1,40069,2.495819502333591e-05,-0.2988934546014083
a1_a2_d_04,a2_l,1.25,38286,0.0,-0.30097260449197083
a1_a2_d_04,a2_l,1.5,35993,0.0,-0.2961716454321762
a1_a2_d_04,a2_l,2,17124,0.0,-0.2632833953087593
a1_a2_d_04,a2_l,2.5,3642,0.0,-0.20440814059287746
a1_a2_d_04,a1_l,0.75,56065,0.0,-0.14853384484910911
a1_a2_d_04,a1_l,1,38670,0.0,-0.17456397554303685
a1_a2_d_04,a1_l,1.25,32097,0.0,-0.17989963535619888
