method,fly,neuron,analysis_status,numerical_valid,main_summary_eligible,spikes,delta_spikes_from_source,rate_mean_Hz,delta_rate_mean_Hz_from_source,rate_no_stim_mean_Hz,delta_rate_no_stim_mean_Hz_from_source,yaw_r0,delta_yaw_r0_from_source,yaw_r150,delta_yaw_r150_from_source,n_valid_r150,delta_n_valid_r150_from_source
source_reshape_mad,a2_d_08,a2_l,usable,True,True,32006,0,9.277155229885391,0.0,8.099392663069025,0.0,-0.09407040844821822,0.0,-0.23527109787018774,0.0,314583,0
source_reshape_mad,a2_d_08,a2_r,usable,True,True,22158,0,6.4226459283821935,0.0,5.427799610151114,0.0,0.06520353145423864,0.0,0.23458528582683266,0.0,314583,0
contiguous_half_second_mad,a2_d_08,a2_l,usable,True,True,18119,-13887,5.251914503852197,-4.025240726033195,4.828610646259143,-3.270782016809882,0.06112193690192988,0.1551923453501481,-0.11472901490730629,0.12054208296288145,314583,0
contiguous_half_second_mad,a2_d_08,a2_r,usable,True,True,13009,-9149,3.7707464970811424,-2.651899431301051,3.3362791368169025,-2.0915204733342114,-0.1120722147541778,-0.17727574620841646,0.11697419905813432,-0.11761108676869834,314583,0
source_reshape_mad,a2_d_12,a2_l,usable,True,True,26955,0,18.030341543030676,0.0,17.416689577334356,0.0,-0.25357226348279677,0.0,-0.4687802352988456,0.0,136253,0
source_reshape_mad,a2_d_12,a2_r,usable,True,True,23349,0,15.61826914072429,0.0,14.989364626893748,0.0,0.3249861867678229,0.0,0.5185950804417025,0.0,136253,0
contiguous_half_second_mad,a2_d_12,a2_l,usable,True,True,14257,-12698,9.536582429196377,-8.4937591138343,9.473440507025135,-7.943249070309221,0.08163279032322807,0.33520505380602483,-0.1617041970710148,0.3070760382278308,136253,0
contiguous_half_second_mad,a2_d_12,a2_r,usable,True,True,14383,-8966,9.620864493170478,-5.997404647553813,9.560983374090206,-5.428381252803542,-0.14052320449170674,-0.46550939125952967,0.10591433344097703,-0.41268074700072555,136253,0
source_reshape_mad,a2_d_13,a2_l,usable,True,True,1723,0,2.9966259695989423,0.0,2.8230818486572,0.0,-0.0014077827656227987,0.0,-0.1393963178743936,0.0,52333,0
source_reshape_mad,a2_d_13,a2_r,usable,True,True,3902,0,6.786323002539219,0.0,6.139590945045011,0.0,0.038615253729927405,0.0,0.2198811949473661,0.0,52333,0
contiguous_half_second_mad,a2_d_13,a2_l,usable,True,True,1093,-630,1.9009356847194685,-1.0956902848794738,1.817394252137557,-1.0056875965196428,0.04114677404229127,0.04255455680791407,-0.14671500319255162,-0.007318685318158019,52333,0
contiguous_half_second_mad,a2_d_13,a2_r,usable,True,True,2694,-1208,4.685380361056037,-2.100942641483182,4.380579306188557,-1.759011638856454,-0.10226850221191658,-0.140883755941844,0.12947499232916726,-0.09040620261819884,52333,0
