method,fly,signal,target,numerical_valid,main_summary_eligible,r0,delta_r0_from_source,r150,delta_r150_from_source,n_valid_r150,delta_n_valid_r150_from_source
source_reshape_mad,a2_d_08,a2_l_rate,a2_r_rate,True,True,0.24787399245085254,0.0,0.25306874857301304,0.0,314583,0
source_reshape_mad,a2_d_08,A_minus_B,yaw,True,True,-0.13113737861304775,0.0,-0.37966585475298054,0.0,314583,0
source_reshape_mad,a2_d_08,A_plus_B,yaw,True,True,-0.028530894859482087,0.0,-0.03062002565816584,0.0,314583,0
contiguous_half_second_mad,a2_d_08,a2_l_rate,a2_r_rate,True,True,0.2622898535790738,0.014415861128221269,0.23985182338115962,-0.013216925191853413,314583,0
contiguous_half_second_mad,a2_d_08,A_minus_B,yaw,True,True,0.1381049161066137,0.26924229471966143,-0.1893293076289944,0.19033654712398615,314583,0
contiguous_half_second_mad,a2_d_08,A_plus_B,yaw,True,True,-0.02263965439610244,0.005891240463379646,-0.011002191144106607,0.019617834514059233,314583,0
source_reshape_mad,a2_d_12,a2_l_rate,a2_r_rate,True,True,0.03725894052231517,0.0,0.08423899543464579,0.0,136253,0
source_reshape_mad,a2_d_12,A_minus_B,yaw,True,True,-0.4170537981571298,0.0,-0.7119838534002212,0.0,136253,0
source_reshape_mad,a2_d_12,A_plus_B,yaw,True,True,0.05044880840361481,0.0,0.036666630158649724,0.0,136253,0
contiguous_half_second_mad,a2_d_12,a2_l_rate,a2_r_rate,True,True,0.18826974017966872,0.15101079965735353,0.2904784275347308,0.206239432100085,136253,0
contiguous_half_second_mad,a2_d_12,A_minus_B,yaw,True,True,0.17422523808658233,0.5912790362437121,-0.21021746941610034,0.5017663839841209,136253,0
contiguous_half_second_mad,a2_d_12,A_plus_B,yaw,True,True,-0.037795759456166075,-0.08824456785978088,-0.036621058440950385,-0.07328768859960011,136253,0
source_reshape_mad,a2_d_13,a2_l_rate,a2_r_rate,True,True,0.24297369462630042,0.0,0.23535719260518714,0.0,52333,0
source_reshape_mad,a2_d_13,A_minus_B,yaw,True,True,-0.03768730963212995,0.0,-0.2957955219966956,0.0,52333,0
source_reshape_mad,a2_d_13,A_plus_B,yaw,True,True,0.028733711800970688,0.0,0.09755243589462063,0.0,52333,0
contiguous_half_second_mad,a2_d_13,a2_l_rate,a2_r_rate,True,True,0.14578077565246034,-0.09719291897384008,0.15754506492856588,-0.07781212767662127,52333,0
contiguous_half_second_mad,a2_d_13,A_minus_B,yaw,True,True,0.11638879584861347,0.1540761054807434,-0.2016182946255444,0.09417722737115122,52333,0
contiguous_half_second_mad,a2_d_13,A_plus_B,yaw,True,True,-0.06076864515477169,-0.08950235695574238,0.029233195000975404,-0.06831924089364523,52333,0
