fly,method,guard_s,signal,target,r150,peak_abs_lag_ms,peak_abs_r,valid_s,method_version
a1_a2_d_01,baseline7.5,0.5,a2_l_fr,yaw,-0.12029490042799688,-200,-0.136563975618071,3447.98,epoch-isolated-sensitivity/v2
a1_a2_d_01,baseline7.5,0.5,a1_l_fr,yaw,-0.002032376985872864,-500,-0.07033063802593498,3447.98,epoch-isolated-sensitivity/v2
a1_a2_d_01,baseline7.5,0.5,a2_l_fr,a1_l_fr,0.5405151552948444,0,0.668933928828413,3447.98,epoch-isolated-sensitivity/v2
a1_a2_d_01,source_example15,0.5,a2_l_fr,yaw,-0.20365140422090244,220,-0.21684358558714403,3447.98,epoch-isolated-sensitivity/v2
a1_a2_d_01,source_example15,0.5,a1_l_fr,yaw,-0.002032376985872864,-500,-0.07033063802593498,3447.98,epoch-isolated-sensitivity/v2
a1_a2_d_01,source_example15,0.5,a2_l_fr,a1_l_fr,0.2228644284852682,0,0.29039886092866374,3447.98,epoch-isolated-sensitivity/v2
a1_a2_d_01,baseline7.5,5.5,a2_l_fr,yaw,-0.12070593866057519,-200,-0.13691121809908316,3437.98,epoch-isolated-sensitivity/v2
a1_a2_d_01,baseline7.5,5.5,a1_l_fr,yaw,-0.0025538407776172496,-500,-0.07064599920901315,3437.98,epoch-isolated-sensitivity/v2
a1_a2_d_01,baseline7.5,5.5,a2_l_fr,a1_l_fr,0.5409017074267031,0,0.6689044672754798,3437.98,epoch-isolated-sensitivity/v2
a1_a2_d_01,source_example15,5.5,a2_l_fr,yaw,-0.20389393472144124,220,-0.21710844807611243,3437.98,epoch-isolated-sensitivity/v2
a1_a2_d_01,source_example15,5.5,a1_l_fr,yaw,-0.0025538407776172496,-500,-0.07064599920901315,3437.98,epoch-isolated-sensitivity/v2
a1_a2_d_01,source_example15,5.5,a2_l_fr,a1_l_fr,0.22274821290032074,0,0.2901012517093917,3437.98,epoch-isolated-sensitivity/v2
a1_a2_d_04,baseline7.5,0.5,a2_l_fr,yaw,-0.2988934546014083,160,-0.299760463799536,3447.98,epoch-isolated-sensitivity/v2
a1_a2_d_04,baseline7.5,0.5,a1_l_fr,yaw,-0.17456397554303685,110,-0.17992002415731123,3447.98,epoch-isolated-sensitivity/v2
a1_a2_d_04,baseline7.5,0.5,a2_l_fr,a1_l_fr,0.4412426929130352,0,0.5455185490871812,3447.98,epoch-isolated-sensitivity/v2
a1_a2_d_04,source_example15,0.5,a2_l_fr,yaw,-0.2632833953087593,150,-0.2632833953087593,3447.98,epoch-isolated-sensitivity/v2
a1_a2_d_04,source_example15,0.5,a1_l_fr,yaw,-0.17456397554303685,110,-0.17992002415731123,3447.98,epoch-isolated-sensitivity/v2
a1_a2_d_04,source_example15,0.5,a2_l_fr,a1_l_fr,0.3278127818490222,0,0.40512152127361595,3447.98,epoch-isolated-sensitivity/v2
a1_a2_d_04,baseline7.5,5.5,a2_l_fr,yaw,-0.29874050384377043,160,-0.2996062628688358,3437.98,epoch-isolated-sensitivity/v2
a1_a2_d_04,baseline7.5,5.5,a1_l_fr,yaw,-0.17452345013313253,110,-0.17984356505219973,3437.98,epoch-isolated-sensitivity/v2
a1_a2_d_04,baseline7.5,5.5,a2_l_fr,a1_l_fr,0.4411388677714366,0,0.5455146950990166,3437.98,epoch-isolated-sensitivity/v2
a1_a2_d_04,source_example15,5.5,a2_l_fr,yaw,-0.26313385545597434,150,-0.26313385545597434,3437.98,epoch-isolated-sensitivity/v2
a1_a2_d_04,source_example15,5.5,a1_l_fr,yaw,-0.17452345013313253,110,-0.17984356505219973,3437.98,epoch-isolated-sensitivity/v2
a1_a2_d_04,source_example15,5.5,a2_l_fr,a1_l_fr,0.32768624079724984,0,0.4050238740940259,3437.98,epoch-isolated-sensitivity/v2
