fly,kind,multiplier,difference_r150,difference_peak_lag_ms,difference_peak_r,method_version
a1_a2_d_01,same_side_cross_type,0.75,-0.13418487062529977,220,-0.15155255298601286,epoch-isolated-sensitivity/v2
a1_a2_d_01,same_side_cross_type,1.0,-0.1532985637667139,210,-0.17042171525416802,epoch-isolated-sensitivity/v2
a1_a2_d_01,same_side_cross_type,1.25,-0.1247195840415577,220,-0.14369089706312901,epoch-isolated-sensitivity/v2
a1_a2_d_01,DNa02_to_DNa01_lag,1,nan,0,0.668933928828413,epoch-isolated-sensitivity/v2
a1_a2_d_01,DNa02_to_DNa01_lag,2,nan,0,0.29039886092866374,epoch-isolated-sensitivity/v2
a2_d_08,bilateral,0.75,-0.34436233857148624,190,-0.3663885008671891,epoch-isolated-sensitivity/v2
a2_d_08,bilateral,1.0,-0.37966585475298054,180,-0.3969442329429274,epoch-isolated-sensitivity/v2
a2_d_08,bilateral,1.25,-0.38433670962096683,180,-0.4007993489716752,epoch-isolated-sensitivity/v2
a2_d_08,bilateral,1.5,-0.3854826902170304,180,-0.4021253718374447,epoch-isolated-sensitivity/v2
a2_d_08,bilateral,2.0,-0.37256718757104273,180,-0.3832960877913208,epoch-isolated-sensitivity/v2
a2_d_08,bilateral,2.5,-0.3026473508480492,160,-0.30465687460041446,epoch-isolated-sensitivity/v2
a2_d_12,bilateral,0.75,-0.7035893775320137,170,-0.7159879730984516,epoch-isolated-sensitivity/v2
a2_d_12,bilateral,1.0,-0.7119838534002212,170,-0.724853978549763,epoch-isolated-sensitivity/v2
a2_d_12,bilateral,1.25,-0.7096221453974471,170,-0.7222590288467853,epoch-isolated-sensitivity/v2
a2_d_12,bilateral,1.5,-0.6939790282022961,170,-0.7060057461951997,epoch-isolated-sensitivity/v2
a2_d_12,bilateral,2.0,-0.6168393751786221,170,-0.6264170938730923,epoch-isolated-sensitivity/v2
a2_d_12,bilateral,2.5,-0.45447457396454244,170,-0.45789185895880985,epoch-isolated-sensitivity/v2
a2_d_13,bilateral,0.75,-0.2651560670897115,170,-0.27142842823335916,epoch-isolated-sensitivity/v2
a2_d_13,bilateral,1.0,-0.2957955219966956,170,-0.3027893202687747,epoch-isolated-sensitivity/v2
a2_d_13,bilateral,1.25,-0.3111628951009845,170,-0.31948712918137845,epoch-isolated-sensitivity/v2
a2_d_13,bilateral,1.5,-0.3220701240626066,170,-0.3295004422568107,epoch-isolated-sensitivity/v2
a2_d_13,bilateral,2.0,-0.3327643287609472,170,-0.34032202084340113,epoch-isolated-sensitivity/v2
a2_d_13,bilateral,2.5,-0.33350546018734883,170,-0.34103632019380314,epoch-isolated-sensitivity/v2
a1_a2_d_02,same_side_cross_type,0.75,-0.15312439730462338,240,-0.2194653191042575,epoch-isolated-sensitivity/v2
a1_a2_d_02,same_side_cross_type,1.0,-0.09935087190348953,230,-0.14690632361095785,epoch-isolated-sensitivity/v2
a1_a2_d_02,same_side_cross_type,1.25,0.006507708335732781,-90,0.07302615857070455,epoch-isolated-sensitivity/v2
a1_a2_d_02,DNa02_to_DNa01_lag,1,nan,30,0.6104441538797118,epoch-isolated-sensitivity/v2
a1_a2_d_02,DNa02_to_DNa01_lag,2,nan,310,0.06945478244266926,epoch-isolated-sensitivity/v2
a1_a2_d_03,same_side_cross_type,0.75,-0.11804973669284971,350,-0.19282839323617748,epoch-isolated-sensitivity/v2
a1_a2_d_03,same_side_cross_type,1.0,-0.11146521917426011,350,-0.18300990341426496,epoch-isolated-sensitivity/v2
a1_a2_d_03,same_side_cross_type,1.25,-0.14813179851310124,270,-0.18965617141625252,epoch-isolated-sensitivity/v2
a1_a2_d_03,DNa02_to_DNa01_lag,1,nan,30,0.7163521202349673,epoch-isolated-sensitivity/v2
a1_a2_d_03,DNa02_to_DNa01_lag,2,nan,110,0.09379256033894406,epoch-isolated-sensitivity/v2
a2_d_14,bilateral,0.75,-0.42557779140367086,160,-0.42802610047921485,epoch-isolated-sensitivity/v2
a2_d_14,bilateral,1.0,-0.49082686701715456,160,-0.49405292170619625,epoch-isolated-sensitivity/v2
a2_d_14,bilateral,1.25,-0.502775884394275,160,-0.5062106107194471,epoch-isolated-sensitivity/v2
a2_d_14,bilateral,1.5,-0.49781944919601495,160,-0.5012471500050607,epoch-isolated-sensitivity/v2
