fly,neuron,absolute_prominence,prominence_multiplier,spikes,r150,peak_abs_lag_ms,peak_abs_r,method_version
a2_s_03,a2_l,5.625,0.75,28579,-0.23019137400201276,150,-0.23019137400201276,epoch-isolated-sensitivity/v2
a2_s_03,a2_l,7.5,1.0,23807,-0.2599739118825874,140,-0.2599748972006764,epoch-isolated-sensitivity/v2
a2_s_03,a2_l,9.375,1.25,23133,-0.26264338053365077,140,-0.26282562586161784,epoch-isolated-sensitivity/v2
a2_s_03,a2_l,11.25,1.5,22317,-0.25793302537899265,140,-0.25808563941137336,epoch-isolated-sensitivity/v2
a2_s_03,a2_l,15.0,2.0,12434,-0.22627588418866315,140,-0.22634378012045342,epoch-isolated-sensitivity/v2
a2_s_03,a2_l,18.75,2.5,2989,-0.1421255999523453,140,-0.14239990992240398,epoch-isolated-sensitivity/v2
a2_s_04,a2_l,5.625,0.75,46690,-0.44106859888715644,170,-0.445379226368263,epoch-isolated-sensitivity/v2
a2_s_04,a2_l,7.5,1.0,42361,-0.4656409135923503,170,-0.4702364903980683,epoch-isolated-sensitivity/v2
a2_s_04,a2_l,9.375,1.25,40967,-0.46265314532258334,170,-0.46775687120665455,epoch-isolated-sensitivity/v2
a2_s_04,a2_l,11.25,1.5,34797,-0.4532143379429234,170,-0.4573457015804063,epoch-isolated-sensitivity/v2
a2_s_04,a2_l,15.0,2.0,10045,-0.37871795552404447,160,-0.37927098955943644,epoch-isolated-sensitivity/v2
a2_s_04,a2_l,18.75,2.5,1400,-0.25144179077969014,120,-0.2530570617212949,epoch-isolated-sensitivity/v2
a2_s_05,a2_l,5.625,0.75,35755,-0.45716515425046955,160,-0.4573169044713558,epoch-isolated-sensitivity/v2
a2_s_05,a2_l,7.5,1.0,31689,-0.45850267443452536,150,-0.45850267443452536,epoch-isolated-sensitivity/v2
a2_s_05,a2_l,9.375,1.25,25326,-0.43828580967413727,150,-0.43828580967413727,epoch-isolated-sensitivity/v2
a2_s_05,a2_l,11.25,1.5,16523,-0.37610837138064707,150,-0.37610837138064707,epoch-isolated-sensitivity/v2
a2_s_05,a2_l,15.0,2.0,2736,-0.18888170471682153,140,-0.18925269364220051,epoch-isolated-sensitivity/v2
a2_s_05,a2_l,18.75,2.5,106,-0.07172354486758153,100,-0.07797266484002748,epoch-isolated-sensitivity/v2
a2_s_06,a2_l,5.625,0.75,31041,-0.46298720513397285,120,-0.47260816047630033,epoch-isolated-sensitivity/v2
a2_s_06,a2_l,7.5,1.0,25143,-0.48873111493300003,120,-0.4981318739014386,epoch-isolated-sensitivity/v2
a2_s_06,a2_l,9.375,1.25,23518,-0.4947670849512171,130,-0.5037868098684475,epoch-isolated-sensitivity/v2
a2_s_06,a2_l,11.25,1.5,22543,-0.4912109021265172,130,-0.49968447922538656,epoch-isolated-sensitivity/v2
a2_s_06,a2_l,15.0,2.0,16269,-0.4559379861167806,120,-0.4634955224635531,epoch-isolated-sensitivity/v2
a2_s_06,a2_l,18.75,2.5,6307,-0.37038798312378673,110,-0.378030180171928,epoch-isolated-sensitivity/v2
a1_s_02,a1_l,4.3125,0.75,86927,-0.3459026433683229,110,-0.370874523844054,epoch-isolated-sensitivity/v2
a1_s_02,a1_l,5.75,1.0,61952,-0.31158720986599064,110,-0.3339608791028683,epoch-isolated-sensitivity/v2
a1_s_02,a1_l,7.1875,1.25,26596,-0.2202713521396785,120,-0.2313002606259751,epoch-isolated-sensitivity/v2
a1_s_05,a1_l,4.3125,0.75,44625,-0.18890991481494984,220,-0.21559540302291735,epoch-isolated-sensitivity/v2
a1_s_05,a1_l,5.75,1.0,31676,-0.22454306795792212,220,-0.2542098013231071,epoch-isolated-sensitivity/v2
a1_s_05,a1_l,7.1875,1.25,21826,-0.2614025433334755,220,-0.2900537629339462,epoch-isolated-sensitivity/v2
a1_s_08,a1_l,4.3125,0.75,27837,-0.26474868540901103,120,-0.27134846866479334,epoch-isolated-sensitivity/v2
a1_s_08,a1_l,5.75,1.0,23454,-0.2660726641864314,120,-0.2734763498345478,epoch-isolated-sensitivity/v2
a1_s_08,a1_l,7.1875,1.25,19089,-0.2462087690936172,120,-0.2527513932789946,epoch-isolated-sensitivity/v2
a1_s_03,a1_l,4.3125,0.75,65245,-0.16780682208011324,150,-0.16780682208011324,epoch-isolated-sensitivity/v2
a1_s_03,a1_l,5.75,1.0,60328,-0.1775333680633126,150,-0.1775333680633126,epoch-isolated-sensitivity/v2
a1_s_03,a1_l,7.1875,1.25,58700,-0.17813400707815047,150,-0.17813400707815047,epoch-isolated-sensitivity/v2
a1_s_06,a1_l,4.3125,0.75,77684,-0.2303634450436561,120,-0.23641568045341987,epoch-isolated-sensitivity/v2
a1_s_06,a1_l,5.75,1.0,71935,-0.23533751254900923,120,-0.24220722349261625,epoch-isolated-sensitivity/v2
a1_s_06,a1_l,7.1875,1.25,55090,-0.206871827438906,120,-0.21133941994194175,epoch-isolated-sensitivity/v2
a1_s_07,a1_l,4.3125,0.75,100686,-0.07284795479539964,90,-0.08025191678821826,epoch-isolated-sensitivity/v2
a1_s_07,a1_l,5.75,1.0,89004,-0.06713387402022836,80,-0.07595974575192893,epoch-isolated-sensitivity/v2
a1_s_07,a1_l,7.1875,1.25,50282,-0.08674692888232367,80,-0.09463362187458453,epoch-isolated-sensitivity/v2
a2_s_01,a2_l,5.625,0.75,38410,-0.2803410109279841,210,-0.31675080325559457,epoch-isolated-sensitivity/v2
a2_s_01,a2_l,7.5,1.0,30036,-0.3005774831644207,210,-0.3366542410746778,epoch-isolated-sensitivity/v2
a2_s_01,a2_l,9.375,1.25,28407,-0.30286071998484765,210,-0.3392178858576731,epoch-isolated-sensitivity/v2
a2_s_01,a2_l,11.25,1.5,27860,-0.3029352615722223,210,-0.33980008482679935,epoch-isolated-sensitivity/v2
a2_s_01,a2_l,15.0,2.0,20260,-0.30886846878041474,210,-0.3344013465970874,epoch-isolated-sensitivity/v2
a2_s_01,a2_l,18.75,2.5,7031,-0.3033235928149581,200,-0.3100575315467256,epoch-isolated-sensitivity/v2
a2_s_07,a2_l,5.625,0.75,25376,-0.2414101802068453,190,-0.24903916331316622,epoch-isolated-sensitivity/v2
a2_s_07,a2_l,7.5,1.0,21851,-0.247677580512819,190,-0.2557901111933874,epoch-isolated-sensitivity/v2
a2_s_07,a2_l,9.375,1.25,20731,-0.25024991852077577,190,-0.25880259097605063,epoch-isolated-sensitivity/v2
a2_s_07,a2_l,11.25,1.5,18552,-0.2552345931663771,190,-0.26301043140090086,epoch-isolated-sensitivity/v2
a2_s_07,a2_l,15.0,2.0,9254,-0.2630049419057352,180,-0.26702634691677235,epoch-isolated-sensitivity/v2
a2_s_07,a2_l,18.75,2.5,2177,-0.2237465741893335,180,-0.22512841559149852,epoch-isolated-sensitivity/v2
a2_s_08,a2_l,5.625,0.75,45486,-0.2233317402446095,180,-0.2329117614527335,epoch-isolated-sensitivity/v2
a2_s_08,a2_l,7.5,1.0,39434,-0.2354091749071834,180,-0.2454088975701795,epoch-isolated-sensitivity/v2
a2_s_08,a2_l,9.375,1.25,38556,-0.2361317209005609,180,-0.2458114405511808,epoch-isolated-sensitivity/v2
a2_s_08,a2_l,11.25,1.5,38216,-0.23364844331989426,180,-0.24369268529021618,epoch-isolated-sensitivity/v2
a2_s_08,a2_l,15.0,2.0,27854,-0.22759274864693577,180,-0.23692877322063355,epoch-isolated-sensitivity/v2
a2_s_08,a2_l,18.75,2.5,6567,-0.21160438039881907,190,-0.21859492087738044,epoch-isolated-sensitivity/v2
a1_a2_d_01,a2_l,5.625,0.75,61652,-0.10119572017596966,-200,-0.1168880957362427,epoch-isolated-sensitivity/v2
a1_a2_d_01,a2_l,7.5,1.0,51416,-0.12029490042799688,-200,-0.136563975618071,epoch-isolated-sensitivity/v2
a1_a2_d_01,a2_l,9.375,1.25,48132,-0.12244313556274197,-200,-0.14008416414332422,epoch-isolated-sensitivity/v2
a1_a2_d_01,a2_l,11.25,1.5,42336,-0.1326099039225439,210,-0.149730364647049,epoch-isolated-sensitivity/v2
a1_a2_d_01,a2_l,15.0,2.0,16139,-0.20365140422090244,220,-0.21684358558714403,epoch-isolated-sensitivity/v2
a1_a2_d_01,a2_l,18.75,2.5,3606,-0.19419238807243233,180,-0.19656562495884985,epoch-isolated-sensitivity/v2
a1_a2_d_01,a1_l,4.3125,0.75,88520,0.0042363756698516435,-500,-0.06163494495854915,epoch-isolated-sensitivity/v2
a1_a2_d_01,a1_l,5.75,1.0,73523,-0.002032376985872864,-500,-0.07033063802593498,epoch-isolated-sensitivity/v2
a1_a2_d_01,a1_l,7.1875,1.25,50264,-0.035649015367905545,-500,-0.08214692772175182,epoch-isolated-sensitivity/v2
a2_d_08,a2_l,5.625,0.75,43915,-0.19651298761912803,180,-0.20360886584601198,epoch-isolated-sensitivity/v2
a2_d_08,a2_l,7.5,1.0,32006,-0.23527109787018774,180,-0.24255641968399502,epoch-isolated-sensitivity/v2
a2_d_08,a2_l,9.375,1.25,29689,-0.24365918274152967,180,-0.2511506046850437,epoch-isolated-sensitivity/v2
a2_d_08,a2_l,11.25,1.5,28633,-0.2440616284741436,180,-0.2518622650897549,epoch-isolated-sensitivity/v2
a2_d_08,a2_l,15.0,2.0,17323,-0.23141784795525433,170,-0.2357045975918546,epoch-isolated-sensitivity/v2
a2_d_08,a2_l,18.75,2.5,4820,-0.17716390178211242,160,-0.17721801825891423,epoch-isolated-sensitivity/v2
a2_d_08,a2_r,5.625,0.75,38402,0.18002078379588632,200,0.19908776545851062,epoch-isolated-sensitivity/v2
a2_d_08,a2_r,7.5,1.0,22158,0.23458528582683266,190,0.2501645918120146,epoch-isolated-sensitivity/v2
a2_d_08,a2_r,9.375,1.25,18618,0.25068052669267604,190,0.265574027616915,epoch-isolated-sensitivity/v2
a2_d_08,a2_r,11.25,1.5,17822,0.2526511231259222,190,0.26732885890294183,epoch-isolated-sensitivity/v2
a2_d_08,a2_r,15.0,2.0,14711,0.24916759520107643,180,0.25920837436626865,epoch-isolated-sensitivity/v2
a2_d_08,a2_r,18.75,2.5,8382,0.22972138558348038,170,0.23230400698446288,epoch-isolated-sensitivity/v2
a2_d_12,a2_l,5.625,0.75,29174,-0.45547477055726754,170,-0.46142167627058456,epoch-isolated-sensitivity/v2
a2_d_12,a2_l,7.5,1.0,26955,-0.4687802352988456,170,-0.4757088501685616,epoch-isolated-sensitivity/v2
a2_d_12,a2_l,9.375,1.25,25369,-0.4637476451657237,170,-0.47031136685449443,epoch-isolated-sensitivity/v2
a2_d_12,a2_l,11.25,1.5,21754,-0.4466696004903579,170,-0.4522182805291376,epoch-isolated-sensitivity/v2
a2_d_12,a2_l,15.0,2.0,8602,-0.3514383202816555,170,-0.3553076186688462,epoch-isolated-sensitivity/v2
a2_d_12,a2_l,18.75,2.5,772,-0.1988992116663629,210,-0.20297408489369245,epoch-isolated-sensitivity/v2
a2_d_12,a2_r,5.625,0.75,26827,0.48634871924361245,180,0.4985192882683188,epoch-isolated-sensitivity/v2
a2_d_12,a2_r,7.5,1.0,23349,0.5185950804417025,180,0.5309704617655433,epoch-isolated-sensitivity/v2
a2_d_12,a2_r,9.375,1.25,22476,0.5229293503491158,180,0.5353656349374628,epoch-isolated-sensitivity/v2
a2_d_12,a2_r,11.25,1.5,22142,0.5203501634646562,180,0.5327925745508587,epoch-isolated-sensitivity/v2
a2_d_12,a2_r,15.0,2.0,17142,0.4969015159285517,180,0.5063069941502032,epoch-isolated-sensitivity/v2
a2_d_12,a2_r,18.75,2.5,6555,0.41538924995146376,170,0.41832687281082104,epoch-isolated-sensitivity/v2
a2_d_13,a2_l,5.625,0.75,4486,-0.09944024192939699,180,-0.10489145442632956,epoch-isolated-sensitivity/v2
