fly,signal,kind,r150,vm_cutoff_r150,baseline_valid_bins,vm_cutoff_valid_bins,vm_cutoff_fraction_retained,main_summary_eligible,interpretation,method_version
a2_s_03,a2_l,single_channel,-0.2599739118825874,-0.21214728256949333,175708,174260,0.9917590547954561,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_s_04,a2_l,single_channel,-0.4656409135923503,-0.4656409135923503,216954,216954,1.0,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_s_05,a2_l,single_channel,-0.45850267443452536,-0.45850267443452536,160902,160902,1.0,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_s_06,a2_l,single_channel,-0.48873111493300003,-0.48808564202215704,173994,173974,0.9998850535075923,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_s_02,a1_l,single_channel,-0.31158720986599064,-0.3113537421158505,277452,277445,0.9999747704107377,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_s_05,a1_l,single_channel,-0.22454306795792212,-0.07220390558371668,261642,256588,0.9806835294027717,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_s_08,a1_l,single_channel,-0.2660726641864314,-0.2522291607843377,153114,149990,0.979596901654976,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_s_03,a1_l,single_channel,-0.1775333680633126,-0.17716470490948205,287398,287328,0.9997564353266202,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_s_06,a1_l,single_channel,-0.23533751254900923,-0.2384926479050096,287398,285658,0.9939456781188456,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_s_07,a1_l,single_channel,-0.06713387402022836,-0.06659592135138133,275898,275859,0.9998586434116956,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
