bodyId,threshold_degree,observed_target_groups,null_group_mean,null_group_min,null_group_max,descriptive_upper_tail_fraction
10006,1,1,1,1,1,1.0
10012,1,1,1,1,1,1.0
10026,4,4,3.90625,3,4,0.90625
10030,6,5,5.71875,5,6,1.0
10037,1,1,1,1,1,1.0
10038,6,4,5.75,5,6,1.0
10045,19,12,16.15625,14,19,1.0
10048,4,4,3.96875,3,4,0.96875
10054,4,2,3.9375,3,4,1.0
10056,17,10,14.75,12,17,1.0
10065,6,5,5.53125,4,6,0.9375
10073,1,1,1,1,1,1.0
100755,1,1,1,1,1,1.0
10076,1,1,1,1,1,1.0
10081,1,1,1,1,1,1.0
10090,6,4,5.625,5,6,1.0
10104,6,4,5.6875,4,6,1.0
10106,3,2,3,3,3,1.0
10112,1,1,1,1,1,1.0
10118,5,5,4.75,4,5,0.75
10124,27,15,20.5625,17,23,1.0
10131,23,13,18.4375,14,22,1.0
10135,2,1,2,2,2,1.0
10141,2,2,2,2,2,1.0
10160,2,2,2,2,2,1.0
10163,2,2,2,2,2,1.0
10177,9,6,8.3125,7,9,1.0
10192,13,8,11.5625,10,13,1.0
10197,1,1,1,1,1,1.0
10216,7,5,6.625,5,7,1.0
10218,8,5,7.375,6,8,1.0
10221,7,5,6.625,5,7,1.0
10247,16,10,13.71875,11,16,1.0
10249,2,1,2,2,2,1.0
10259,2,2,2,2,2,1.0
10264,1,1,1,1,1,1.0
10274,20,14,16.34375,13,18,0.96875
10280,5,4,4.6875,3,5,0.96875
10281,20,12,16.5,14,19,1.0
10301,11,10,9.90625,9,11,0.71875
10313,2,1,2,2,2,1.0
103156,2,1,1.96875,1,2,1.0
10360,7,4,6.5625,5,7,1.0
10416,1,1,1,1,1,1.0
10425,3,3,2.90625,2,3,0.90625
10433,2,2,2,2,2,1.0
10440,7,4,6.71875,6,7,1.0
10442,1,1,1,1,1,1.0
10444,22,13,17.84375,15,21,1.0
104605,1,1,1,1,1,1.0
104610,1,1,1,1,1,1.0
10469,6,3,5.71875,5,6,1.0
10482,10,6,9.15625,7,10,1.0
10499,4,2,3.84375,3,4,1.0
1050112921,5,3,4.78125,4,5,1.0
1050115348,2,1,1.96875,1,2,1.0
1050138510,5,2,4.9375,4,5,1.0
1050151038,1,1,1,1,1,1.0
1050379364,9,5,8.5,7,9,1.0
1050441863,4,3,3.96875,3,4,1.0
1050591428,3,2,2.96875,2,3,1.0
10506,4,2,3.8125,3,4,1.0
1050765441,1,1,1,1,1,1.0
10508,1,1,1,1,1,1.0
1050815626,1,1,1,1,1,1.0
1050859066,1,1,1,1,1,1.0
1050910351,1,1,1,1,1,1.0
1050938168,5,3,4.71875,4,5,1.0
1051045520,4,2,3.875,3,4,1.0
1051296846,1,1,1,1,1,1.0
1051333245,1,1,1,1,1,1.0
1051352087,1,1,1,1,1,1.0
1051358866,2,2,1.90625,1,2,0.90625
1051479717,2,1,2,2,2,1.0
1051645871,4,4,3.90625,3,4,0.90625
10520,25,17,19.84375,17,23,1.0
105240,1,1,1,1,1,1.0
10527,2,2,2,2,2,1.0
1053329543,1,1,1,1,1,1.0
10535,5,3,4.625,4,5,1.0
1053526057,2,2,1.90625,1,2,0.90625
1053549729,2,1,1.96875,1,2,1.0
1053563856,1,1,1,1,1,1.0
1053955095,1,1,1,1,1,1.0
1054019402,4,1,3.84375,3,4,1.0
10544,7,6,6.625,5,7,0.90625
1054499659,1,1,1,1,1,1.0
1055333832,1,1,1,1,1,1.0
10562,1,1,1,1,1,1.0
105726,1,1,1,1,1,1.0
1057576230,2,2,2,2,2,1.0
10577,4,3,3.9375,3,4,1.0
10581,11,8,9.78125,8,11,1.0
10584,2,2,2,2,2,1.0
10587,3,2,3,3,3,1.0
1061901900,1,1,1,1,1,1.0
1062512192,1,1,1,1,1,1.0
106355,1,1,1,1,1,1.0
10643,3,3,2.9375,2,3,0.9375
10668,2,2,2,2,2,1.0
10673,2,1,2,2,2,1.0
1068560359,4,3,3.78125,3,4,1.0
10703,4,2,3.9375,3,4,1.0
10717,31,17,23.25,20,27,1.0
10734,30,20,22.96875,20,25,1.0
1074160161,1,1,1,1,1,1.0
10751,2,1,2,2,2,1.0
10760,4,4,3.78125,3,4,0.78125
10800,1,1,1,1,1,1.0
10833,2,2,2,2,2,1.0
10834,4,2,3.90625,3,4,1.0
1083604933,1,1,1,1,1,1.0
10846,4,2,3.90625,3,4,1.0
10849,1,1,1,1,1,1.0
10853,11,8,10.0625,8,11,1.0
10881,1,1,1,1,1,1.0
10885,8,6,7.46875,5,8,0.96875
10888,1,1,1,1,1,1.0
108941,1,1,1,1,1,1.0
10895,2,2,2,2,2,1.0
10922,3,3,2.96875,2,3,0.96875
109328,2,1,1.96875,1,2,1.0
10952,4,2,3.9375,3,4,1.0
109521,1,1,1,1,1,1.0
10968,2,1,2,2,2,1.0
110202,1,1,1,1,1,1.0
11048,2,1,1.96875,1,2,1.0
11066,1,1,1,1,1,1.0
11067,3,3,3,3,3,1.0
11074,3,2,2.875,2,3,1.0
11078,5,4,4.90625,4,5,1.0
11097,5,4,4.84375,4,5,1.0
1110706007,5,2,4.90625,4,5,1.0
11127,1,1,1,1,1,1.0
11172,1,1,1,1,1,1.0
11179,3,2,2.84375,2,3,1.0
11211,2,1,2,2,2,1.0
11223,6,4,5.71875,4,6,1.0
11270,6,3,5.78125,4,6,1.0
11304,1,1,1,1,1,1.0
11310,6,4,5.84375,5,6,1.0
11352,1,1,1,1,1,1.0
11373,1,1,1,1,1,1.0
11411,5,3,4.8125,4,5,1.0
11421,4,3,3.96875,3,4,1.0
11424,1,1,1,1,1,1.0
11458,1,1,1,1,1,1.0
11466,1,1,1,1,1,1.0
114757,1,1,1,1,1,1.0
114795,4,2,3.875,3,4,1.0
11513,3,3,2.90625,2,3,0.90625
11527,1,1,1,1,1,1.0
11563,1,1,1,1,1,1.0
11575,13,9,11.5,9,13,1.0
115974,1,1,1,1,1,1.0
11598,8,4,7.5625,7,8,1.0
11600,1,1,1,1,1,1.0
11629,2,1,2,2,2,1.0
11643,2,1,2,2,2,1.0
11704,1,1,1,1,1,1.0
11713,2,1,1.96875,1,2,1.0
11737,2,2,1.96875,1,2,0.96875
11755,1,1,1,1,1,1.0
11770,1,1,1,1,1,1.0
11803,2,1,2,2,2,1.0
11844,1,1,1,1,1,1.0
11846,1,1,1,1,1,1.0
11881,2,2,1.96875,1,2,0.96875
119228,2,2,1.96875,1,2,0.96875
119284,1,1,1,1,1,1.0
11951,1,1,1,1,1,1.0
11955,1,1,1,1,1,1.0
11970,1,1,1,1,1,1.0
120169,2,2,1.96875,1,2,0.96875
120242,1,1,1,1,1,1.0
120318,1,1,1,1,1,1.0
12038,2,2,1.96875,1,2,0.96875
121271,2,2,1.96875,1,2,0.96875
121911,1,1,1,1,1,1.0
12209,2,1,1.96875,1,2,1.0
122112,5,4,4.84375,4,5,1.0
12224,4,3,4,4,4,1.0
12238,1,1,1,1,1,1.0
122753,1,1,1,1,1,1.0
122992,1,1,1,1,1,1.0
123153,1,1,1,1,1,1.0
12319,1,1,1,1,1,1.0
123566,1,1,1,1,1,1.0
12364,1,1,1,1,1,1.0
12378,1,1,1,1,1,1.0
12393,1,1,1,1,1,1.0
12394,5,3,4.78125,3,5,1.0
124189,1,1,1,1,1,1.0
124505,1,1,1,1,1,1.0
12451,1,1,1,1,1,1.0
12453,1,1,1,1,1,1.0
12483,1,1,1,1,1,1.0
12484,8,6,7.34375,6,8,1.0
12520,3,2,2.9375,2,3,1.0
12533,2,1,1.90625,1,2,1.0
12559,2,1,2,2,2,1.0
12563,1,1,1,1,1,1.0
12581,2,2,1.96875,1,2,0.96875
12619,1,1,1,1,1,1.0
12622,2,2,1.96875,1,2,0.96875
12745,2,1,1.9375,1,2,1.0
12752,2,1,1.96875,1,2,1.0
12794,1,1,1,1,1,1.0
12804,1,1,1,1,1,1.0
12821,7,4,6.75,6,7,1.0
12850,1,1,1,1,1,1.0
12851,1,1,1,1,1,1.0
12875,2,1,2,2,2,1.0
12886,4,3,3.84375,3,4,1.0
12894,2,1,1.96875,1,2,1.0
