direction,target_bodyId,target_type,observation_source,threshold,edge_count,weight,weightHP,weightHR,weight_fraction_of_t1,all_relationship_edges,excluded_missing_weight_edges,excluded_below1_edges
incoming,10045,DNg100,additional,1,1870,21592,19094,21592,1.0,1870,0,0
incoming,10045,DNg100,additional,3,586,20059,17826,20059,0.9290014820303816,1870,0,0
incoming,10045,DNg100,additional,5,408,19453,17340,19453,0.9009355316783995,1870,0,0
incoming,10045,DNg100,additional,10,269,18560,16592,18560,0.8595776213412375,1870,0,0
incoming,10056,DNg100,additional,1,2023,21477,18858,21477,1.0,2023,0,0
incoming,10056,DNg100,additional,3,596,19767,17473,19767,0.9203799413325884,2023,0,0
incoming,10056,DNg100,additional,5,414,19150,16976,19150,0.891651534199376,2023,0,0
incoming,10056,DNg100,additional,10,277,18279,16236,18279,0.851096521860595,2023,0,0
incoming,10065,DNb05,additional,1,1960,18613,17437,18613,1.0,1960,0,0
incoming,10065,DNb05,additional,3,793,17182,16160,17182,0.9231182506850051,1960,0,0
incoming,10065,DNb05,additional,5,570,16428,15484,16428,0.8826089292430022,1960,0,0
incoming,10065,DNb05,additional,10,375,15122,14272,15122,0.8124429162413367,1960,0,0
incoming,10118,DNb05,additional,1,2065,17938,16874,17938,1.0,2065,0,0
incoming,10118,DNb05,additional,3,834,16439,15535,16439,0.916434385104248,2065,0,0
incoming,10118,DNb05,additional,5,620,15715,14868,15715,0.8760731408183744,2065,0,0
incoming,10118,DNb05,additional,10,401,14287,13543,14287,0.7964656037462371,2065,0,0
incoming,10124,DNg105,previous_six,1,1207,15435,13910,15435,1.0,1207,0,0
incoming,10124,DNg105,previous_six,3,458,14497,13138,14497,0.9392290249433106,1207,0,0
incoming,10124,DNg105,previous_six,5,327,14060,12763,14060,0.9109167476514415,1207,0,0
incoming,10124,DNg105,previous_six,10,207,13284,12088,13284,0.8606413994169096,1207,0,0
incoming,10131,DNg74_a,additional,1,1989,20868,19193,20868,1.0,1989,0,0
incoming,10131,DNg74_a,additional,3,677,19242,17762,19242,0.9220816561242093,1989,0,0
incoming,10131,DNg74_a,additional,5,488,18611,17198,18611,0.8918439716312057,1989,0,0
incoming,10131,DNg74_a,additional,10,303,17425,16130,17425,0.835010542457351,1989,0,0
incoming,10360,DNa02,additional,1,1741,24830,22877,24830,1.0,1741,0,0
incoming,10360,DNa02,additional,3,751,23620,21815,23620,0.9512686266612969,1741,0,0
incoming,10360,DNa02,additional,5,584,23052,21316,23052,0.9283930728956907,1741,0,0
incoming,10360,DNa02,additional,10,385,21771,20167,21771,0.8768022553362868,1741,0,0
incoming,10520,DNg74_b,additional,1,1151,12447,11072,12447,1.0,1151,0,0
incoming,10520,DNg74_b,additional,3,409,11543,10306,11543,0.9273720575239014,1151,0,0
incoming,10520,DNg74_b,additional,5,298,11161,9982,11161,0.8966819313890897,1151,0,0
incoming,10520,DNg74_b,additional,10,195,10502,9406,10502,0.8437374467743232,1151,0,0
incoming,10717,DNg93,additional,1,897,6352,5532,6352,1.0,897,0,0
incoming,10717,DNg93,additional,3,303,5624,4935,5624,0.8853904282115869,897,0,0
incoming,10717,DNg93,additional,5,204,5294,4666,5294,0.8334382871536524,897,0,0
incoming,10717,DNg93,additional,10,134,4831,4272,4831,0.7605478589420654,897,0,0
incoming,10734,DNg93,previous_six,1,929,7335,6330,7335,1.0,929,0,0
incoming,10734,DNg93,previous_six,3,309,6580,5733,6580,0.8970688479890934,929,0,0
incoming,10734,DNg93,previous_six,5,212,6249,5467,6249,0.8519427402862986,929,0,0
incoming,10734,DNg93,previous_six,10,137,5752,5051,5752,0.7841854124062713,929,0,0
incoming,10760,DNa01,additional,1,1121,13804,12367,13804,1.0,1121,0,0
incoming,10760,DNa01,additional,3,432,12933,11637,12933,0.9369023471457548,1121,0,0
incoming,10760,DNa01,additional,5,309,12512,11288,12512,0.9064039408866995,1121,0,0
incoming,10760,DNa01,additional,10,209,11865,10723,11865,0.8595334685598377,1121,0,0
incoming,11067,DNb06,additional,1,265,876,770,876,1.0,265,0,0
incoming,11067,DNb06,additional,3,60,637,573,637,0.7271689497716894,265,0,0
incoming,11067,DNb06,additional,5,28,530,486,530,0.6050228310502284,265,0,0
incoming,11067,DNb06,additional,10,16,459,423,459,0.523972602739726,265,0,0
incoming,11074,DNg13,additional,1,866,6500,5728,6500,1.0,866,0,0
incoming,11074,DNg13,additional,3,343,5838,5210,5838,0.8981538461538462,866,0,0
incoming,11074,DNg13,additional,5,247,5517,4946,5517,0.8487692307692307,866,0,0
incoming,11074,DNg13,additional,10,150,4862,4380,4862,0.748,866,0,0
incoming,13130,DNg105,additional,1,1389,15276,13772,15276,1.0,1389,0,0
incoming,13130,DNg105,additional,3,566,14262,12912,14262,0.9336213668499608,1389,0,0
incoming,13130,DNg105,additional,5,380,13629,12357,13629,0.8921838177533385,1389,0,0
incoming,13130,DNg105,additional,10,231,12675,11521,12675,0.829732914375491,1389,0,0
incoming,13805,DNg97,additional,1,1522,18330,16759,18330,1.0,1522,0,0
